evaluation_id,task_id,script_id,grader,max_mark,teacher_mark,total_score,performance_band,context_content_data,structure_format_brevity,language_mechanics,originality_comparisons_paraphrase,is_attempted,cap_applied,cap_reason,frequent_errors,positive_aspects,feedback_summary,sum_check_passed,band_check_passed,model_version,prompt_version,temperature,raw_json_path,eval_timestamp
SUMMARY_006__google/gemma-3-27b-it,SUMMARY_006,SE_11_Q1_0006,google/gemma-3-27b-it,10,0,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_006__google/gemma-3-27b-it.json,2026-08-17T17:09:05.310469+00:00
THEME_006__google/gemma-3-27b-it,THEME_006,SE_11_Q1_0006,google/gemma-3-27b-it,8,3,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_006__google/gemma-3-27b-it.json,2026-08-17T17:09:21.900160+00:00
CHART_007__google/gemma-3-27b-it,CHART_007,SE_11_Q1_0007,google/gemma-3-27b-it,10,7,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 43 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_007__google/gemma-3-27b-it.json,2026-08-17T17:10:16.970200+00:00
LETTER_007__google/gemma-3-27b-it,LETTER_007,SE_11_Q1_0007,google/gemma-3-27b-it,5,4,3.5,Band 3,1.5,1.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,"Complete informal letter layout including salutation, body, sign-off, and envelope block",Strictly adheres to informal letter conventions with clear communication. Score awarded is 3.5 out of 5 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_007__google/gemma-3-27b-it.json,2026-08-17T17:10:57.570470+00:00
PARA_007__google/gemma-3-27b-it,PARA_007,SE_11_Q1_0007,google/gemma-3-27b-it,10,8,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_007__google/gemma-3-27b-it.json,2026-08-17T17:12:14.392765+00:00
STORY_007__google/gemma-3-27b-it,STORY_007,SE_11_Q1_0007,google/gemma-3-27b-it,7,5,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_007__google/gemma-3-27b-it.json,2026-08-17T17:13:05.719599+00:00
SUMMARY_007__google/gemma-3-27b-it,SUMMARY_007,SE_11_Q1_0007,google/gemma-3-27b-it,10,6,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_007__google/gemma-3-27b-it.json,2026-08-17T17:13:22.819000+00:00
THEME_007__google/gemma-3-27b-it,THEME_007,SE_11_Q1_0007,google/gemma-3-27b-it,8,5,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_007__google/gemma-3-27b-it.json,2026-08-17T17:13:41.398767+00:00
CHART_008__google/gemma-3-27b-it,CHART_008,SE_11_Q1_0008,google/gemma-3-27b-it,10,5,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 29 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_008__google/gemma-3-27b-it.json,2026-08-17T17:14:38.606022+00:00
LETTER_008__google/gemma-3-27b-it,LETTER_008,SE_11_Q1_0008,google/gemma-3-27b-it,5,0,2,Band 2,1.5,1.0,0.5,0.5,True,True,Letter_Missing_Layout,Missing standard letter layout elements (salutation and sign-off block),,"Letter content is understandable, but essential structural parts are missing. Score capped at 2.0 out of 5 (Band 2).",False,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_008__google/gemma-3-27b-it.json,2026-08-17T17:15:07.142416+00:00
PARA_008__google/gemma-3-27b-it,PARA_008,SE_11_Q1_0008,google/gemma-3-27b-it,10,6,6.5,Band 3,2.5,1.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_008__google/gemma-3-27b-it.json,2026-08-17T17:16:03.506008+00:00
STORY_008__google/gemma-3-27b-it,STORY_008,SE_11_Q1_0008,google/gemma-3-27b-it,7,4,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_008__google/gemma-3-27b-it.json,2026-08-17T17:16:57.062336+00:00
SUMMARY_008__google/gemma-3-27b-it,SUMMARY_008,SE_11_Q1_0008,google/gemma-3-27b-it,10,3,6.5,Band 3,2.5,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 6.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_008__google/gemma-3-27b-it.json,2026-08-17T17:17:11.264175+00:00
THEME_008__google/gemma-3-27b-it,THEME_008,SE_11_Q1_0008,google/gemma-3-27b-it,8,3,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_008__google/gemma-3-27b-it.json,2026-08-17T17:17:21.625416+00:00
CHART_009__google/gemma-3-27b-it,CHART_009,SE_11_Q1_0009,google/gemma-3-27b-it,10,6,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 29 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_009__google/gemma-3-27b-it.json,2026-08-17T17:18:12.105371+00:00
LETTER_009__google/gemma-3-27b-it,LETTER_009,SE_11_Q1_0009,google/gemma-3-27b-it,5,4,4.5,Band 4,1.5,2.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,Standard informal letter greeting and sign-off structure present,Strictly adheres to informal letter conventions with clear communication. Score awarded is 4.5 out of 5 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_009__google/gemma-3-27b-it.json,2026-08-17T17:18:47.969492+00:00
PARA_009__google/gemma-3-27b-it,PARA_009,SE_11_Q1_0009,google/gemma-3-27b-it,10,4,7.5,Band 3,2.5,2.5,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Preserved single unified paragraph structure with clear topic focus,Coherent unified paragraph with clear topic sentence and logical development. Awarded 7.5 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/PARA_009__google/gemma-3-27b-it.json,2026-08-17T17:19:24.726312+00:00
STORY_009__google/gemma-3-27b-it,STORY_009,SE_11_Q1_0009,google/gemma-3-27b-it,7,4,6,Band 4,2.0,2.0,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Logically continues from the given story prompt with creative narrative progression,Engaging storytelling continuing from the prompt with moral resolution. Awarded 6.0 out of 7 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/STORY_009__google/gemma-3-27b-it.json,2026-08-17T17:19:55.127838+00:00
SUMMARY_009__google/gemma-3-27b-it,SUMMARY_009,SE_11_Q1_0009,google/gemma-3-27b-it,10,5,7,Band 3,2.5,2.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Concise summary capturing main ideas within target length constraint,Paraphrases core theme accurately with appropriate brevity. Score awarded is 7.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/SUMMARY_009__google/gemma-3-27b-it.json,2026-08-17T17:20:07.921840+00:00
THEME_009__google/gemma-3-27b-it,THEME_009,SE_11_Q1_0009,google/gemma-3-27b-it,8,4,5.5,Band 3,2.0,1.5,1.0,1.0,True,False,None,Occasional minor spelling or grammatical slips,Identifies and articulates the central philosophical human theme of the text,Articulates the central thematic concept effectively. Score awarded is 5.5 out of 8 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/THEME_009__google/gemma-3-27b-it.json,2026-08-17T17:20:24.159086+00:00
CHART_010__google/gemma-3-27b-it,CHART_010,SE_11_Q1_0010,google/gemma-3-27b-it,10,6,6,Band 3,2.5,1.0,1.5,1.0,True,False,None,Occasional minor spelling or grammatical slips,Accurately extracted and contrasted 29 key chart data points | Maintained strict objective analytical tone without subjective bias,Accurately presents and contrasts the numerical chart data with logical progression. Awarded 6.0 out of 10 (Band 3).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/CHART_010__google/gemma-3-27b-it.json,2026-08-17T17:21:02.083604+00:00
LETTER_010__google/gemma-3-27b-it,LETTER_010,SE_11_Q1_0010,google/gemma-3-27b-it,5,3,4.5,Band 4,1.5,2.0,0.5,0.5,True,False,None,Occasional minor spelling or grammatical slips,Standard informal letter greeting and sign-off structure present,Strictly adheres to informal letter conventions with clear communication. Score awarded is 4.5 out of 5 (Band 4).,True,True,google/gemma-3-27b-it,rubric_v2,0.0,evaluations/raw/LETTER_010__google/gemma-3-27b-it.json,2026-08-17T17:22:01.452678+00:00
