task_id,script_id,question_no,question_type,ground_truth_word_count,stage1_cold_ocr_cer,stage1_cold_ocr_wer,stage3_reference_primed_cer,stage3_reference_primed_wer,stage4_adjudicated_ocr_cer,stage4_adjudicated_ocr_wer,wer_reduction_stage1_to_stage4_pct,stage1_transcription_preview,stage4_transcription_preview,ground_truth_preview
SUMMARY_002,SE_11_Q1_0002,3,Summary,48,0.616,1.0,0.616,1.0,0.616,1.0,0.0,Ae 4'Nd.3 Te poem ;lluslules Jves in Ihe Soul and it Sing} enNeel Z Ahe dazkest ...,Ae 4'Nd.3 Te poem ;lluslules Jves in Ihe Soul and it Sing} enNeel Z Ahe dazkest ...,"The poem 'Hope' illustrades Hope lives in the
soul and it sings endlessly at the..."
THEME_002,SE_11_Q1_0002,11,Theme,28,2.1638,3.6786,2.1638,3.6786,2.1638,3.6786,0.0,"to #he Q- No |I Terg Tke poem explore Ul,a d;Jercence oclive and passive drioj e...","to #he Q- No |I Terg Tke poem explore Ul,a d;Jercence oclive and passive drioj e...","Theme: The poem 'Dream' explore the difference
between active and passive dream,..."
CHART_003,SE_11_Q1_0003,8,Graph_Chart,167,0.7163,1.1557,0.7163,1.1557,0.7163,1.1557,0.0,Aw t #e LO) Nb 2 Svwce 0++ #e USA eledhiets D46 Qbol 1 2 24'/; {-0 24/ 9e} I2/ H...,Aw t #e LO) Nb 2 Svwce 0++ #e USA eledhiets D46 Qbol 1 2 24'/; {-0 24/ 9e} I2/ H...,"Sources of the USA electricity in 1980

2% 29% 12% 16% 46%

46% - Coal
29% - Nat..."
LETTER_003,SE_11_Q1_0003,10,Letter_Email,213,0.7555,1.2535,0.7555,1.2535,0.7555,1.2535,0.0,"Am J {kedues NO} lo 27 Jue 2o2( AzilPlkn 'bhak 6 Yrie 4, A+ Kl tblkke k4 Lodial ...","Am J {kedues NO} lo 27 Jue 2o2( AzilPlkn 'bhak 6 Yrie 4, A+ Kl tblkke k4 Lodial ...","27 June, 2026
Azimpur, Dhaka

Dear fried,
At first take my cordial love and
good..."
PARA_003,SE_11_Q1_0003,7,Paragraph,290,0.6441,1.2138,0.6441,1.2138,0.6441,1.2138,0.0,Aw. 6 #l<Qu e No Anteeial dvfelliaexec 4' Aatific ial dxtleiaemee 0r A i 'in bcn...,Aw. 6 #l<Qu e No Anteeial dvfelliaexec 4' Aatific ial dxtleiaemee 0r A i 'in bcn...,"Artificial Intelligence

Artificial Intelligence or AI
is a computer based progr..."
STORY_003,SE_11_Q1_0003,9,Story,241,0.7511,1.2199,0.7511,1.2199,0.7511,1.2199,0.0,"Aw to #a_ Nq, 9 C. 0 |on 6 @OWoe 1 d Wc pleepi*9 i 0 Yonex SuddexIy 0 4Aon @u A ...","Aw to #a_ Nq, 9 C. 0 |on 6 @OWoe 1 d Wc pleepi*9 i 0 Yonex SuddexIy 0 4Aon @u A ...","A lion and a mouse

Once a lion was sleeping in
a forest . Suddenly a mouse came..."
SUMMARY_003,SE_11_Q1_0003,3,Summary,43,0.6763,1.186,0.6763,1.186,0.6763,1.186,0.0,An.@ be Ques Ho Pe In he 04 fike N 0 one Ci1 ive ifuovt tuc wotont le Cne Ilvib ...,An.@ be Ques Ho Pe In he 04 fike N 0 one Ci1 ive ifuovt tuc wotont le Cne Ilvib ...,"Hope in the tonic of life.
No one can live without this. Every
moment, we are li..."
THEME_003,SE_11_Q1_0003,11,Theme,34,1.1333,1.8529,1.1333,1.8529,1.1333,1.8529,0.0,"Am 1p #1o Que, (Yo Q Daetwvo ane hoJ; +e plceri- Conf bLeh tor artete bhc u p. D...","Am 1p #1o Que, (Yo Q Daetwvo ane hoJ; +e plceri- Conf bLeh tor artete bhc u p. D...","Dreams are not the pleering
Part, which we forgot after woke up.
Dreams are that..."
CHART_004,SE_11_Q1_0004,8,Graph_Chart,217,0.5392,1.0184,0.5392,1.0184,0.5392,1.0184,0.0,Answer to #Ihe Ques. No 09 1 TThe Qie Qhan Shous 4h Sounces 8 #ho_ UsA in 4926 T...,Answer to #Ihe Ques. No 09 1 TThe Qie Qhan Shous 4h Sounces 8 #ho_ UsA in 4926 T...,"The pie chart shows the sounces
of the USA electricity in 1980. The
sounces are ..."
LETTER_004,SE_11_Q1_0004,10,Letter_Email,178,0.7394,1.236,0.7394,1.236,0.7394,1.236,0.0,"to Hb Qurslion No! Jo 24 June 2026 Bhuighan 10%, Dhaka Den AI L an well; J ay al...","to Hb Qurslion No! Jo 24 June 2026 Bhuighan 10%, Dhaka Den AI L an well; J ay al...","27 June, 2026
Bhuighan-107, Dhaka

Dear Alif,

I hope you are well. I am also we..."
PARA_004,SE_11_Q1_0004,7,Paragraph,261,0.7024,1.2184,0.7031,1.2184,0.7031,1.2184,0.0,"Answer -o -Ib_ (uls. No 0 V~ AArdilicial 7 Mlellgence 70;' 1""' n 3 T 12/1 Ardtfi...","Answer -o -Ib_ (uls. No 0 V~ AArdilicial 7 Mlellgence 70;' 1""' n 3 T 12/1 Ardtfi...","Arctificial Intelligence

Arctifial Intelligence is mainly a software
which is s..."
STORY_004,SE_11_Q1_0004,9,Story,145,0.552,0.931,0.552,0.931,0.552,0.931,0.0,Answen t ~the Quos No! 09 4 Once O ion wa) im) the mouse Qame Yonest Sudlenld in...,Answen t ~the Quos No! 09 4 Once O ion wa) im) the mouse Qame Yonest Sudlenld in...,"Once a lion was sleeping in the
forest. Suddenly a mouse came there.
It was, inf..."
SUMMARY_004,SE_11_Q1_0004,3,Summary,51,0.9084,1.451,0.9084,1.451,0.9084,1.451,0.0,Thc adher {enn fliec bauce he can tell anjonc aboed hs Rnn Co dort call me wimp ...,Thc adher {enn fliec bauce he can tell anjonc aboed hs Rnn Co dort call me wimp ...,"Summery: Hope is the saviour thing which helps to
servive the human beings. Our ..."
THEME_004,SE_11_Q1_0004,11,Theme,78,0.7601,1.2949,0.7601,1.2949,0.7601,1.2949,0.0,"Anseder dlo tho Gue: 011 1 lm"" :'0( y] ""1 1""'1 U Tnem p vol Aeople a1 al See dne...","Anseder dlo tho Gue: 011 1 lm"" :'0( y] ""1 1""'1 U Tnem p vol Aeople a1 al See dne...","Theme:

People are all see dream. Dreams are
two kind of one is in subconscious ..."
CHART_005,SE_11_Q1_0005,8,Graph_Chart,71,1.3634,2.2113,1.3634,2.2113,1.3634,2.2113,0.0,As Ao' Ats Lues No -3 T Zh iil Jghots ~lhe ssowces 07 Zte USA ele abicily Xn 192...,As Ao' Ats Lues No -3 T Zh iil Jghots ~lhe ssowces 07 Zte USA ele abicily Xn 192...,"In the chart it shows the
sources of the USA electricity
in 1980.

As we can see..."
LETTER_005,SE_11_Q1_0005,10,Letter_Email,89,0.7505,1.2921,0.7505,1.2921,0.7505,1.2921,0.0,"IA,oXAns do Xw 4s NO-lo Jadlnabaui Dho ba 27 lo 6 2026 ~o W) W6 Dean Skb '8 Xn)i...","IA,oXAns do Xw 4s NO-lo Jadlnabaui Dho ba 27 lo 6 2026 ~o W) W6 Dean Skb '8 Xn)i...","Jatrabari, Dhaka
27/06/2026

Dear Shiba,
I hope you and your family is well by t..."
PARA_005,SE_11_Q1_0005,7,Paragraph,175,0.8625,1.2914,0.8602,1.2914,0.8602,1.2914,0.0,"A Jws Ales No-7 3 ""nbslacl Go`) X~; ~rO Al: 4_Sellyenee js Z Cve uman @Ca_Jlecl ...","A Jws Ales No-7 3 ""nbslacl Go`) X~; ~rO Al: 4_Sellyenee js Z Cve uman @Ca_Jlecl ...","Artificial Intelligence

Artificial Intelligence is something
that we human crea..."
STORY_005,SE_11_Q1_0005,9,Story,132,0.8314,1.3106,0.8314,1.3106,0.8314,1.3106,0.0,24 Jnom NucJ eaJ pousen 1 6) do 9u tues No 949 <7 ~Macllea 1 /3 31Sze doesny I Q...,24 Jnom NucJ eaJ pousen 1 6) do 9u tues No 949 <7 ~Macllea 1 /3 31Sze doesny I Q...,"Size doesn't Matter
Once a lion was sleeping in a
forest . Suddenly a mouse came..."
SUMMARY_005,SE_11_Q1_0005,3,Summary,25,1.32,2.0,1.32,2.0,1.32,2.0,0.0,3 Y Ans Jo _Vhq Quos NO-6 4 2[&l4l5 6[z 2 9 l0 li wtote/ b Aws do Jw ques No-3 7...,3 Y Ans Jo _Vhq Quos NO-6 4 2[&l4l5 6[z 2 9 l0 li wtote/ b Aws do Jw ques No-3 7...,"'Hope' is something that keep us
alive. It helps us. To reach our
goal. NO matte..."
THEME_005,SE_11_Q1_0005,11,Theme,38,0.9369,1.5526,0.9369,1.5526,0.9369,1.5526,0.0,Axs Io Jhg iues No.41 {hme {ke Poem Aneans Jul wof in Xhe Evendone Sawq Sowe dne...,Axs Io Jhg iues No.41 {hme {ke Poem Aneans Jul wof in Xhe Evendone Sawq Sowe dne...,"Theme of the poem:
Everyone dreams but not in the
same. Some drems while they sl..."
CHART_006,SE_11_Q1_0006,8,Graph_Chart,105,0.8972,1.4095,0.8972,1.4095,0.8972,1.4095,0.0,Awwet Vk 4w No 8 ~ke He: Chos- dcribes oboul ~Ihe soustes 0J 4e UsA eleckoily in...,Awwet Vk 4w No 8 ~ke He: Chos- dcribes oboul ~Ihe soustes 0J 4e UsA eleckoily in...,"The pie chart decribes about the sources
of the USA electricity in 1980.
Accordi..."
LETTER_006,SE_11_Q1_0006,10,Letter_Email,139,0.576,0.9784,0.5774,0.9784,0.5774,0.9784,0.0,"Kavi, Firs+ 0f &ll-ake korlfett 1785 (rad ""ad (uthes best wishes hope everitone ...","Kavi, Firs+ 0f &ll-ake korlfett 1785 (rad ""ad (uthes best wishes hope everitone ...","Dear Karim,

First of all take my heartfelt greetings and
wishes best wishes. I ..."
PARA_006,SE_11_Q1_0006,7,Paragraph,211,0.7251,1.2038,0.7251,1.2038,0.7251,1.2038,0.0,"wfWo) 4o (ka (vosion No. 9 '1 11 In-lelligex' A,-ikuo Mec 15 0 So-ftwndie prdoom...","wfWo) 4o (ka (vosion No. 9 '1 11 In-lelligex' A,-ikuo Mec 15 0 So-ftwndie prdoom...","""Artificial Intelligence""

Artificial Intelligance means it is a
software progra..."
SUMMARY_006,SE_11_Q1_0006,3,Summary,76,0.8624,1.3026,0.8624,1.3026,0.8624,1.3026,0.0,"Ansukr No, Ali' Suroz4 ixkvek' 1 du} #e eved dhoud hrre 0 O4 aluvd) on dour dern...","Ansukr No, Ali' Suroz4 ixkvek' 1 du} #e eved dhoud hrre 0 O4 aluvd) on dour dern...","Summary

In this time every person should have
a dream. and alway focus on your ..."
THEME_006,SE_11_Q1_0006,11,Theme,66,0.6995,1.0909,0.6995,1.0909,0.6995,1.0909,0.0,nwev -o 4hg Jusfion Fvesydte shoud hove C UJi-(houd (redm YCM Cm+ Ilie shond Wov...,nwev -o 4hg Jusfion Fvesydte shoud hove C UJi-(houd (redm YCM Cm+ Ilie shond Wov...,"Everyone should have a dream. Without dream
a man can't live. So, we should work..."
CHART_007,SE_11_Q1_0007,8,Graph_Chart,141,0.8862,1.6667,0.8862,1.6667,0.8862,1.6667,0.0,doesn'L hatm 1h ns Ans ~Vo Lhe Qses: No; 2 T8 Pi e eloht cholvs Lle Souceec 0 f ...,doesn'L hatm 1h ns Ans ~Vo Lhe Qses: No; 2 T8 Pi e eloht cholvs Lle Souceec 0 f ...,"The following Pie-chart shows the sources
of the USA electricity in 1980.

In th..."
LETTER_007,SE_11_Q1_0007,10,Letter_Email,173,0.7031,1.1908,0.7031,1.1908,0.7031,1.1908,0.0,"Acs +6 Gue; 6':0 2 fiend ~ibi-2 V A 32 Passit9 Hs e e,n Alat June, 2026 Azimput ...","Acs +6 Gue; 6':0 2 fiend ~ibi-2 V A 32 Passit9 Hs e e,n Alat June, 2026 Azimput ...","A letter to my friend describing the future

plan after passing HSC exam


27th ..."
PARA_007,SE_11_Q1_0007,7,Paragraph,343,0.8469,1.5335,0.8469,1.5335,0.8469,1.5335,0.0,Ans +p Ques Anbficif eneg AJ hmeans AnlG; eia/ Ilelligenee Arfif;elal S pkeliser...,Ans +p Ques Anbficif eneg AJ hmeans AnlG; eia/ Ilelligenee Arfif;elal S pkeliser...,"Artificial Intelligence

AI means Artificial Intelligence. Artificial Intelligen..."
STORY_007,SE_11_Q1_0007,9,Story,255,0.8068,1.4431,0.8068,1.4431,0.8068,1.4431,0.0,4 6 Lhe ele cdricily 7o Je {tom coal we 0 on ^OU So J in 19 80 U n uS ed 20 0 Fo...,4 6 Lhe ele cdricily 7o Je {tom coal we 0 on ^OU So J in 19 80 U n uS ed 20 0 Fo...,"The Lion and the Mouse

Once a lion was et sleeping in a forest.
Suddenly a mous..."
SUMMARY_007,SE_11_Q1_0007,3,Summary,47,1.5378,1.9574,1.5378,1.9574,1.5378,1.9574,0.0,losin lhein mobilily {iiends 9 LaLus theit econoti non ling +es formol e dyeatiq...,losin lhein mobilily {iiends 9 LaLus theit econoti non ling +es formol e dyeatiq...,"Hope is what keeps our souls alive. If our hope
dies soul dies too. Hope is the ..."
THEME_007,SE_11_Q1_0007,11,Theme,43,0.7919,1.4186,0.7919,1.4186,0.7919,1.4186,0.0,Ans Lo 6 e Ques No: 11 Drean isn'+ equa fort everyone. we ee whem ond Co m daeam...,Ans Lo 6 e Ques No: 11 Drean isn'+ equa fort everyone. we ee whem ond Co m daeam...,"Dream isn't equal for everyone. For some dream
is what we see, when we sleep and..."
CHART_008,SE_11_Q1_0008,8,Graph_Chart,146,0.7222,1.3493,0.7222,1.3493,0.7222,1.3493,0.0,T Ic As_o #s_ no' P Tke chart IM Hc pass4g declancs 4s #x v Sol ff VsA-electri c...,T Ic As_o #s_ no' P Tke chart IM Hc pass4g declancs 4s #x v Sol ff VsA-electri c...,"The chart in the passage shows declares
us the source of USA electricity in
1980..."
LETTER_008,SE_11_Q1_0008,10,Letter_Email,163,0.5789,0.9571,0.5789,0.9571,0.5789,0.9571,0.0,"Aus:t JLs Mo' 40 24 June 2026 '8 Azinpur_ Dkaka 4. 6 bear Juliya, I hope You Aye...","Aus:t JLs Mo' 40 24 June 2026 '8 Azinpur_ Dkaka 4. 6 bear Juliya, I hope You Aye...","27 June, 2026
Azimpur, Dhaka

Dear Juliya,
I hope you are doing well. My HSC exa..."
PARA_008,SE_11_Q1_0008,7,Paragraph,254,0.6229,1.0315,0.6229,1.0315,0.6229,1.0315,0.0,~Ans do #s_ nd 1 _AtkaiaL_Ttellijencc Ar#Rcial ile lli gence knoun as ai 15 soft...,~Ans do #s_ nd 1 _AtkaiaL_Ttellijencc Ar#Rcial ile lli gence knoun as ai 15 soft...,"Artificial Intelligence

Artificial intelligence known as AI is
a software which..."
STORY_008,SE_11_Q1_0008,9,Story,232,0.6675,1.1724,0.6675,1.1724,0.6675,1.1724,0.0,Hs: %o 4W Mo: 9 Reward ol ncsc Okee Hon Wa 1n foresl. Suddwly} F(ous (Anie dcre ...,Hs: %o 4W Mo: 9 Reward ol ncsc Okee Hon Wa 1n foresl. Suddwly} F(ous (Anie dcre ...,"Reward of Forgiveness

Once a lion was sleeping in a forest. Suddenly
a mouse ca..."
SUMMARY_008,SE_11_Q1_0008,3,Summary,33,0.8563,1.3333,0.8563,1.3333,0.8563,1.3333,0.0,Hs toka no 3 Hop Is the 4 Kn Alive wotk hurd hexer end; (Vem 6# Wors siluq tion ...,Hs toka no 3 Hop Is the 4 Kn Alive wotk hurd hexer end; (Vem 6# Wors siluq tion ...,"Hope is the thing that keeps a person
alive and makes him work hard. It never en..."
THEME_008,SE_11_Q1_0008,11,Theme,43,0.7277,1.3023,0.7277,1.3023,0.7277,1.3023,0.0,Astke no 11 Yho dreams wit widz e8 Are not norm4 Fke 1X #c Korwivg 4 Tosk people...,Astke no 11 Yho dreams wit widz e8 Are not norm4 Fke 1X #c Korwivg 4 Tosk people...,"People who dreams with wide open eye
in the morning are not normal like people
w..."
CHART_009,SE_11_Q1_0009,8,Graph_Chart,137,0.5958,1.073,0.5958,1.073,0.5958,1.073,0.0,"Ansuen No-8 The chort ghows ~lz gources He USA in I9g0, We can u cleor dividiion...","Ansuen No-8 The chort ghows ~lz gources He USA in I9g0, We can u cleor dividiion...","The chart shows the sources of the
USA electricity in 1980. We can see a
crystal..."
LETTER_009,SE_11_Q1_0009,10,Letter_Email,167,0.5919,0.988,0.593,0.988,0.593,0.988,0.0,"Answer No -[0 27 Jvne, 2026 Ha Dhonmon d; Ohaka_ Dear Lffd, ape I Xep Rine_ I Pe...","Answer No -[0 27 Jvne, 2026 Ha Dhonmon d; Ohaka_ Dear Lffd, ape I Xep Rine_ I Pe...","27 June, 2026
7/A Dhanmondi 32, Dhaka

Dear Luffy,

How are you? I hope you're f..."
PARA_009,SE_11_Q1_0009,7,Paragraph,175,0.6532,1.0629,0.6552,1.0629,0.6552,1.0629,0.0,Ansuep. No- 7 Arti;kcial Inlelligence CAD) Art; #cial en ce is iaclsne Ulieh cah...,Ansuep. No- 7 Arti;kcial Inlelligence CAD) Art; #cial en ce is iaclsne Ulieh cah...,"Artificial Intelligence (AI)

Artificial intelligence is a machine
which can und..."
STORY_009,SE_11_Q1_0009,9,Story,165,0.6702,1.0424,0.6702,1.0424,0.6702,1.0424,0.0,"Ans wer No 9 4""03 3 lion and Movse 14' 4,m""< <'1 Once Ilon Cuog 8n Suddenbp mous...","Ans wer No 9 4""03 3 lion and Movse 14' 4,m""< <'1 Once Ilon Cuog 8n Suddenbp mous...","The Lion and Mouse

Once a lion was sleeping in a forest.
Suddenly a mouse came ..."
SUMMARY_009,SE_11_Q1_0009,3,Summary,66,0.7395,1.1364,0.7395,1.1364,0.7395,1.1364,0.0,"Ansver Noz 3 Rs Sane lluino we, live #pelhe tuNlkovt i5 unllwkalle. UC heoson li...","Ansver Noz 3 Rs Sane lluino we, live #pelhe tuNlkovt i5 unllwkalle. UC heoson li...","Hope is something why we live.
Hopelife without hope is unthinkable.
Hope gives ..."
THEME_009,SE_11_Q1_0009,11,Theme,47,0.8584,1.3404,0.8584,1.3404,0.8584,1.3404,0.0,"Answer No,-Il 4 dreams in Hler In-e are Tcuo #4pes Gne is ulal Ne Se& clile in s...","Answer No,-Il 4 dreams in Hler In-e are Tcuo #4pes Gne is ulal Ne Se& clile in s...","People dreams in their life. Their are
two types of dreams. One is what
we see w..."
CHART_010,SE_11_Q1_0010,8,Graph_Chart,107,0.5101,1.1589,0.505,1.1308,0.505,1.1308,2.42,An) -o 4hc Quention rio The shotus Jhe s0unces 0-[ 4n0 V6a elec #nici+/ in (980 ...,An) -o 4hc Quention rio The shotus Jhe s0unces 0-[ 4n0 V6a elec #nici+/ in (980 ...,"The Chart shows the Sources of the USA electricity
in 1980. It Provides us a cry..."
LETTER_010,SE_11_Q1_0010,10,Letter_Email,189,0.5328,1.2169,0.5328,1.2169,0.5328,1.2169,0.0,"Ans 40 the Quntion No -10 27 June,2026 Donia DhaKa-1236 Dear Sadia, 770 Hope tha...","Ans 40 the Quntion No -10 27 June,2026 Donia DhaKa-1236 Dear Sadia, 770 Hope tha...","27 June, 2026
Donia, Dhaka-1236
Dear Sadia,

Hope that Your are fantastic. I am ..."
STORY_010,SE_11_Q1_0010,9,Story,178,0.4751,1.0169,0.4751,1.0169,0.4751,1.0169,0.0,"Ot +0 #he Qublion No n lion and ""ouse Once Iion Was sleep ix Toru 5+ Suddenty mo...","Ot +0 #he Qublion No n lion and ""ouse Once Iion Was sleep ix Toru 5+ Suddenty mo...","A lion and a mouse

Once a lion was sleeping in a forest.
Suddenly a mouse came ..."
SUMMARY_010,SE_11_Q1_0010,3,Summary,85,1.0364,1.6824,1.0319,1.6471,1.0319,1.6471,2.1,Ans 4 4he Qum ion) No Hcre i5 4he with f ea+her N kep+ 40 tnan Wanmn. J+ 4hc tun...,Ans 4 the Qum ion) No Hcre i5 the with f ea+her N kep+ 40 tnan Wanmn. J+ 4hc tun...,"Hope is the thing with feathers, It kept so many
warm. It sings the tune without..."
CHART_001,SE_11_Q1_0011,8,Graph_Chart,129,7.1042,9.2713,7.1042,9.2713,7.1042,9.2713,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"The sources of the USA electricity
in 1980

In the given pie-charet we can see t..."
LETTER_001,SE_11_Q1_0011,10,Letter_Email,155,6.0561,7.7097,6.0561,7.7097,6.0561,7.7097,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"Jatrabari, Dhaka-1204
27-06-2026
Dear Saiful,
At the beggining of the letter tak..."
PARA_001,SE_11_Q1_0011,7,Paragraph,201,4.3479,5.9204,4.3479,5.9204,4.3479,5.9204,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"Artificial Intelligence

Artificial Intelligence mostly known as AI
is a modern ..."
STORY_001,SE_11_Q1_0011,9,Story,170,6.0798,6.9882,6.0798,6.9882,6.0798,6.9882,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"Size doesn't Matter

Once a lion was sleeping in a forrest.
Suddenly a mouse cam..."
SUMMARY_001,SE_11_Q1_0011,3,Summary,61,17.7632,19.6393,17.7632,19.6393,17.7632,19.6393,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"In the poem Hope is compared with
bird. Bird alaways flys here and
there. In the..."
THEME_001,SE_11_Q1_0011,11,Theme,48,22.8285,25.0417,22.8285,25.0417,22.8285,25.0417,0.0,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,Antito 0 #c In) (Q iii Jinaud 1s oubsida #L (6) ii (hxing obaeets (Q Iii. blocla...,"There are two kind of dream. one which
we see while we sleep and another
because..."
CHART_001,SE_11_Q1_0012,8,Graph_Chart,129,8.5806,10.4496,8.5806,10.4496,8.5806,10.4496,0.0,"Answelc to #6e Questiom No; 01 (A) 4ij displaae live oulsilc #lu {:l ""{m 21 b) o...","Answelc to #6e Questiom No; 01 (A) 4ij displaae live oulsilc #lu {:l ""{m 21 b) o...","The sources of the USA electricity
in 1980

In the given pie-charet we can see t..."
LETTER_001,SE_11_Q1_0012,10,Letter_Email,155,7.3103,8.6839,7.3103,8.6774,7.3103,8.6774,0.07,"Answelc to #6e Questiom No; 01 (A) 4ij displaae live oulsilc #lu {:l ""{m 21 b) o...","Answelc to #6e Questiom No; 01 (A) 4ij displaae live oulsilc #lu {:l ""{m 21 b) o...","Jatrabari, Dhaka-1204
27-06-2026
Dear Saiful,
At the beggining of the letter tak..."
