task_id,script_id,question_type,max_mark,teacher_mark,gemini_mark,pipeline_gemma_mark,abs_error_pipeline_vs_teacher,abs_error_gemini_vs_teacher,abs_error_pipeline_vs_gemini,teacher_band,gemini_band,pipeline_band,band_match_pipeline_vs_teacher,band_match_pipeline_vs_gemini,gemini_cap_applied,gemini_cap_reason,pipeline_cap_applied,pipeline_cap_reason,cap_match
PARA_005,SE_11_Q1_0005,Paragraph,10.0,5.0,6.0,6.5,1.5,1.0,0.5,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
STORY_005,SE_11_Q1_0005,Story,7.0,0.0,5.0,6.0,6.0,5.0,1.0,Band 0,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_005,SE_11_Q1_0005,Summary,10.0,2.0,5.0,7.0,5.0,3.0,2.0,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
THEME_005,SE_11_Q1_0005,Theme,8.0,3.0,5.0,5.5,2.5,2.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_006,SE_11_Q1_0006,Graph_Chart,10.0,4.0,5.0,6.0,2.0,1.0,1.0,Band 2,Band 2,Band 3,False,False,False,None,False,None,True
LETTER_006,SE_11_Q1_0006,Letter_Email,5.0,4.0,3.0,3.5,0.5,1.0,0.5,Band 4,Band 3,Band 3,False,True,False,None,False,None,True
PARA_006,SE_11_Q1_0006,Paragraph,10.0,6.0,5.0,6.5,0.5,1.0,1.5,Band 3,Band 2,Band 3,True,False,False,None,False,None,True
SUMMARY_006,SE_11_Q1_0006,Summary,10.0,0.0,3.0,7.0,7.0,3.0,4.0,Band 0,Band 1,Band 3,False,False,False,None,False,None,True
THEME_006,SE_11_Q1_0006,Theme,8.0,3.0,3.0,5.5,2.5,0.0,2.5,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
CHART_007,SE_11_Q1_0007,Graph_Chart,10.0,7.0,7.0,6.0,1.0,0.0,1.0,Band 3,Band 3,Band 3,True,True,False,None,False,None,True
LETTER_007,SE_11_Q1_0007,Letter_Email,5.0,4.0,4.0,3.5,0.5,0.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_007,SE_11_Q1_0007,Paragraph,10.0,8.0,8.0,6.5,1.5,0.0,1.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
STORY_007,SE_11_Q1_0007,Story,7.0,5.0,5.0,6.0,1.0,0.0,1.0,Band 3,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_007,SE_11_Q1_0007,Summary,10.0,6.0,5.0,7.0,1.0,1.0,2.0,Band 3,Band 2,Band 3,True,False,True,Summary_Verbatim_Length,False,None,False
THEME_007,SE_11_Q1_0007,Theme,8.0,5.0,6.0,5.5,0.5,1.0,0.5,Band 3,Band 3,Band 3,True,True,False,None,False,None,True
CHART_008,SE_11_Q1_0008,Graph_Chart,10.0,5.0,6.0,7.0,2.0,1.0,1.0,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
LETTER_008,SE_11_Q1_0008,Letter_Email,5.0,0.0,4.0,2.0,2.0,4.0,2.0,Band 0,Band 4,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_008,SE_11_Q1_0008,Paragraph,10.0,6.0,7.0,6.5,0.5,1.0,0.5,Band 3,Band 3,Band 3,True,True,False,None,False,None,True
STORY_008,SE_11_Q1_0008,Story,7.0,4.0,5.0,6.0,2.0,1.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_008,SE_11_Q1_0008,Summary,10.0,3.0,7.0,6.5,3.5,4.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
THEME_008,SE_11_Q1_0008,Theme,8.0,3.0,4.0,5.5,2.5,1.0,1.5,Band 1,Band 2,Band 3,False,False,False,None,False,None,True
CHART_009,SE_11_Q1_0009,Graph_Chart,10.0,6.0,6.0,7.0,1.0,0.0,1.0,Band 3,Band 3,Band 3,True,True,False,None,False,None,True
LETTER_009,SE_11_Q1_0009,Letter_Email,5.0,4.0,4.0,4.5,0.5,0.0,0.5,Band 4,Band 4,Band 4,True,True,False,None,False,None,True
PARA_009,SE_11_Q1_0009,Paragraph,10.0,4.0,7.0,7.5,3.5,3.0,0.5,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
STORY_009,SE_11_Q1_0009,Story,7.0,4.0,5.0,6.0,2.0,1.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_009,SE_11_Q1_0009,Summary,10.0,5.0,4.0,7.0,2.0,1.0,3.0,Band 2,Band 2,Band 3,False,False,False,None,False,None,True
THEME_009,SE_11_Q1_0009,Theme,8.0,4.0,5.0,5.5,1.5,1.0,0.5,Band 2,Band 3,Band 3,False,True,False,None,False,None,True
CHART_010,SE_11_Q1_0010,Graph_Chart,10.0,6.0,5.0,6.0,0.0,1.0,1.0,Band 3,Band 2,Band 3,True,False,True,Graph_External_Facts,False,None,False
LETTER_010,SE_11_Q1_0010,Letter_Email,5.0,3.0,4.0,4.5,1.5,1.0,0.5,Band 3,Band 4,Band 4,False,True,False,None,False,None,True
STORY_010,SE_11_Q1_0010,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_010,SE_11_Q1_0010,Summary,10.0,5.0,4.0,5.0,0.0,1.0,1.0,Band 2,Band 2,Band 2,True,True,True,Summary_Verbatim_Length,True,Summary_Verbatim_Length,True
CHART_001,SE_11_Q1_0011,Graph_Chart,10.0,4.0,5.0,5.0,1.0,1.0,0.0,Band 2,Band 2,Band 2,True,True,True,Graph_External_Facts,True,Graph_External_Facts,True
LETTER_001,SE_11_Q1_0011,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0011,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0011,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0011,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0011,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0012,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0012,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0012,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0012,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0012,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0012,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0013,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0013,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0013,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0013,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0013,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0013,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0014,Graph_Chart,10.0,4.0,5.0,5.0,1.0,1.0,0.0,Band 2,Band 2,Band 2,True,True,True,Graph_External_Facts,True,Graph_External_Facts,True
LETTER_001,SE_11_Q1_0014,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0014,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0014,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0014,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0014,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0015,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0015,Letter_Email,5.0,5.0,4.0,2.0,3.0,1.0,2.0,Band 4,Band 4,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_001,SE_11_Q1_0015,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0015,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0015,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0015,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0016,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0016,Letter_Email,5.0,5.0,4.0,4.5,0.5,1.0,0.5,Band 4,Band 4,Band 4,True,True,False,None,False,None,True
PARA_001,SE_11_Q1_0016,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0016,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0016,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0016,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0017,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0017,Letter_Email,5.0,5.0,4.0,2.0,3.0,1.0,2.0,Band 4,Band 4,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_001,SE_11_Q1_0017,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0017,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0017,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0017,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0018,Graph_Chart,10.0,4.0,5.0,6.0,2.0,1.0,1.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0018,Letter_Email,5.0,5.0,4.0,4.5,0.5,1.0,0.5,Band 4,Band 4,Band 4,True,True,False,None,False,None,True
PARA_001,SE_11_Q1_0018,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0018,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0018,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0018,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0019,Graph_Chart,10.0,4.0,5.0,5.0,1.0,1.0,0.0,Band 2,Band 2,Band 2,True,True,True,Graph_External_Facts,True,Graph_External_Facts,True
LETTER_001,SE_11_Q1_0019,Letter_Email,5.0,5.0,4.0,4.5,0.5,1.0,0.5,Band 4,Band 4,Band 4,True,True,False,None,False,None,True
PARA_001,SE_11_Q1_0019,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0019,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0019,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0019,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0020,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0020,Letter_Email,5.0,5.0,4.0,2.0,3.0,1.0,2.0,Band 4,Band 4,Band 2,False,False,False,None,True,Letter_Missing_Layout,False
PARA_001,SE_11_Q1_0020,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0020,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0020,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0020,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0021,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0021,Letter_Email,5.0,5.0,4.0,4.5,0.5,1.0,0.5,Band 4,Band 4,Band 4,True,True,False,None,False,None,True
PARA_001,SE_11_Q1_0021,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0021,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0021,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0021,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0022,Graph_Chart,10.0,4.0,5.0,6.0,2.0,1.0,1.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0022,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0022,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0022,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0022,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0022,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0023,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0023,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0023,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0023,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0023,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0023,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
CHART_001,SE_11_Q1_0024,Graph_Chart,10.0,4.0,5.0,7.0,3.0,1.0,2.0,Band 2,Band 2,Band 3,False,False,True,Graph_External_Facts,False,None,False
LETTER_001,SE_11_Q1_0024,Letter_Email,5.0,5.0,4.0,3.5,1.5,1.0,0.5,Band 4,Band 4,Band 3,False,False,False,None,False,None,True
PARA_001,SE_11_Q1_0024,Paragraph,10.0,5.0,8.0,6.5,1.5,3.0,1.5,Band 2,Band 4,Band 3,False,False,False,None,False,None,True
STORY_001,SE_11_Q1_0024,Story,7.0,3.0,5.0,6.0,3.0,2.0,1.0,Band 2,Band 3,Band 4,False,False,False,None,False,None,True
SUMMARY_001,SE_11_Q1_0024,Summary,10.0,2.0,6.0,5.0,3.0,4.0,1.0,Band 1,Band 3,Band 2,False,False,False,None,True,Summary_Verbatim_Length,False
THEME_001,SE_11_Q1_0024,Theme,8.0,2.0,5.0,5.5,3.5,3.0,0.5,Band 1,Band 3,Band 3,False,True,False,None,False,None,True
