"task_id","exam_set","script_id","question_no","question_type","max_mark","model","provider","run_index","raw_context_content_data","raw_structure_format_brevity","raw_language_mechanics","raw_originality_comparisons_paraphrase","raw_total","context_content_data","structure_format_brevity","language_mechanics","originality_comparisons_paraphrase","total_score","capped_from","cap_applied","applied_cap_reason","performance_band","is_attempted","synthesised","context_content_data_rationale","structure_format_brevity_rationale","language_mechanics_rationale","originality_comparisons_paraphrase_rationale","context_content_data_evidence","structure_format_brevity_evidence","language_mechanics_evidence","originality_comparisons_paraphrase_evidence","evidence_not_found","frequent_errors","positive_aspects","feedback_summary","model_version","thinking_level","rubric_hash","prompt_hash","timestamp"
"GAP_015","SE_06_Q1","SE_06_Q1_0015","3","Gap_Fill","5","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 3","True","False","Items b, d, and e are correct according to the answer key and context. Item a ('saw') does not fit grammatically with the preposition 'about' in this context. Item c ('wanted') does not match the meaning of discovering the papers were valuable ('came to know').","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","b. went. d. sold. e. hearing.","","","","context_content_data","Contextual vocabulary mismatch","Accurate identification of key actions (selling, hearing news)","The student correctly answered items b, d, and e. Item a was marked wrong because 'saw' does not fit the phrase 'saw about valuable stones'. Item c was marked wrong because 'wanted to know' changes the meaning from the passage's fact that he discovered the value.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","ff5673c26822d7505230d8b0ef7f9003a27b7238cf37c92259b672f38f043a2b","2026-09-17T05:09:01.477850+00:00"
"GAP_016","SE_06_Q1","SE_06_Q1_0016","3","Gap_Fill","5","gemma","ai_studio","0","2","0","0","0","2","2","0","0","0","2","2","False","None","Band 2","True","False","Item (a) 'dreamt' matches key. Item (b) 'went back' matches key. Item (c) 'went' is unidiomatic and incorrect in the phrase 'went to know'. Item (d) 'brought' is factually incorrect as the context requires 'sold' to account for the money received. Item (e) 'kernx' is unintelligible.","Criterion is fixed at 0 for item-scored questions.","Criterion is fixed at 0 for item-scored questions.","Criterion is fixed at 0 for item-scored questions.","a) dreamt b) went back c) went d) brought e) kernx","","","","context_content_data","Lexical inaccuracy;Unintelligible response","Correct identification of early passage events","The student correctly answered items (a) and (b). Item (c) is marked wrong because 'went' is not a suitable fit for the idiom 'came to know'. Item (d) is wrong because 'brought' does not describe the transaction of selling the papers for money. Item (e) is unintelligible.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bef491f1e30ab48299f3a52654cbd9a145ca2a7b054c72aaa3fa4d1451f6d10a","2026-09-17T04:57:37.047437+00:00"
"GAP_017","SE_06_Q1","SE_06_Q1_0017","3","Gap_Fill","5","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 4","True","False","The student correctly filled four gaps. (a) 'thought' matches the key; (b) 'went' is grammatically correct and fits the passage sense; (d) 'sold' matches the key; (e) 'after' is a grammatically acceptable prepositional lead-in. Item (c) 'just' is incorrect because it is an adverb and cannot serve as the main verb required for the phrase 'Uncle Santosh [verb] to know'.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","(a) thought (b) went (d) sold (e) after","","","","context_content_data","Part-of-speech error in item (c)","Accurate retrieval of key narrative facts;Correct grammatical fit for most gaps","The student scored 4 out of 5. Items (a) 'thought', (b) 'went', (d) 'sold', and (e) 'after' are marked correct. Item (c) 'just' is marked incorrect as it does not provide the necessary verb to complete the sentence.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","db5f5dceed71b593def26c51b08f358e4d2a6e2bb400f72e2c9da8773892aec0","2026-09-17T05:22:43.117002+00:00"
"GAP_018","SE_06_Q1","SE_06_Q1_0018","3","Gap_Fill","5","gemma","ai_studio","0","1","0","0","0","1","1","0","0","0","1","1","False","None","Band 1","True","False","Item (b) is correct as 'went' fits the sentence grammatically and aligns with the passage's 'went back to Jaipur'. Items (a) 'search' (wrong tense/context), (c) 'the boys' (noun phrase where a verb is required), (d) 'give' (wrong tense/context), and (e) 'ofcourse' (grammatically incorrect) are all wrong.","Fixed at 0 for item-scored questions.","Fixed at 0 for item-scored questions.","Fixed at 0 for item-scored questions.","b) went","","","","","Wrong part of speech (Item c);Tense inconsistency (Item a and d);Lack of contextual understanding (Item e)","Correctly identified the action of traveling to Jaipur in item (b)","The student correctly answered item (b). Items (a), (c), (d), and (e) were marked incorrect due to grammatical errors or failure to match the context of the passage. Total: 1/5.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","480cd7d9d68497634c6c72e095e14b2f502f79dd86f2f4bce7816f37d16e5a54","2026-09-17T05:14:02.783386+00:00"
"GAP_019","SE_06_Q1","SE_06_Q1_0019","3","Gap_Fill","5","gemma","ai_studio","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","True","False","Item (a) 'ten thousand' is contextually and grammatically incorrect. Item (b) 'back' lacks the necessary verb to be grammatically correct. Item (c) 'told the boys' does not fit the sentence structure. Item (d) 'bought them' is grammatically incorrect and contradicts the meaning of the passage (he sold them). Item (e) 'Ray' is grammatically incorrect.","Criterion not applicable for item-scored questions.","Criterion not applicable for item-scored questions.","Criterion not applicable for item-scored questions.","(a) ten thousand. (b) back. (c) told the boys (d) bought them (e) Ray.","","","","context_content_data","Grammatical incompatibility;Contextual misunderstanding","Attempted all items","All items were marked incorrect. (a) 'ten thousand' does not fit; (b) 'back' lacks a verb; (c) 'told the boys' is grammatically incorrect in the sentence; (d) 'bought them' is grammatically incorrect and factually wrong (he sold the papers); (e) 'Ray' does not fit the sentence structure.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f79b9dddcc7238433b19f32d9c34093bcf878815e56fb90f82595e17a936a63a","2026-09-17T05:13:46.274542+00:00"
"GAP_020","SE_06_Q1","SE_06_Q1_0020","3","Gap_Fill","5","gemma","ai_studio","0","1","0","0","0","1","1","0","0","0","1","1","False","None","Band 1","True","False","Only item (b) is correct. Item (a) 'never forgot' does not fit the narrative sequence 'After finding the box...'. Items (c), (d), and (e) are grammatically incorrect fillers that make the sentences incoherent.","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","went back.","","","","","Grammatical incoherence in gap filling;Lack of syntactic alignment with the prompt sentences","Correctly identified the action of returning to Jaipur in item (b)","Item (b) was marked correct. Items (a), (c), (d), and (e) were marked incorrect. Specifically, (a) is contextually wrong for the sequence of events, and (c), (d), and (e) result in grammatically broken sentences.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7d1b8aa49d879d7039bdd6deed41a6ffcb822424aaaab903595b7d2a3f4e161c","2026-09-17T05:30:45.478264+00:00"
"GAP_021","SE_06_Q1","SE_06_Q1_0021","3","Gap_Fill","5","gemma","ai_studio","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","True","False","Item (a) is marked as [illegible] and therefore cannot be verified against the answer key. Items (b), (c), (d), and (e) were not attempted.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","[illegible]","","","","","Missing responses;Illegibility","","The student failed to provide any verifiable correct answers. Item (a) was rendered illegible during transcription and cannot be marked correct. Items (b), (c), (d), and (e) were left blank.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","94d1ad5ad4e7ae9a995e209bcd3c9ece1e1013474ae0680812d86acad449ade6","2026-09-17T05:24:28.770933+00:00"
"GAP_022","SE_06_Q1","SE_06_Q1_0022","3","Gap_Fill","5","gemma","ai_studio","0","2","0","0","0","2","2","0","0","0","2","2","False","None","Band 2","True","False","Item (a) 'thought' matches the key. Item (b) 'went' fits grammatically and agrees with the passage (they went back to Jaipur), so it is correct. Item (c) 'about' is grammatically incorrect in context. Item (d) 'told' is semantically incorrect (cannot 'tell' papers to a museum). Item (e) 'gave' is grammatically incorrect in the phrase 'gave the news, the boy were happy'.","Criteria fixed at 0 for item-scored questions.","Criteria fixed at 0 for item-scored questions.","Criteria fixed at 0 for item-scored questions.","a. thought b. went","","","","context_content_data","Grammatical incorrectness in gap filling;Semantic misalignment with passage context","Correct identification of basic verbs for the first two gaps","The student scored 2 out of 5. Items (a) and (b) are correct. Items (c), (d), and (e) are incorrect due to grammatical errors or incorrect word choice.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","41ed689b2a796e87b4c1b9ab34337e35e7c238ee684d788752be552821026a69","2026-09-17T05:37:12.347752+00:00"
"MCQ_001","SE_06_Q1","SE_06_Q1_0001","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","Items b, c, and g are correct. Item a is incorrect (i vs iv). Item d is incorrect (iv vs ii). Item e is an unintelligible character 't'. Item f is an unintelligible character '+'.","Criterion not applicable for item-scored questions.","Criterion not applicable for item-scored questions.","Criterion not applicable for item-scored questions.","b. iv) pride and joy
c. ii) honour
g. iv) all of it, i; and iii","","","","context_content_data","Incorrect option selection;Unintelligible responses for items e and f","Accurate identification of options for b, c, and g","The student correctly answered 3 out of 7 items. Correct: b, c, g. Incorrect: a, d. Unintelligible/Wrong: e, f.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","73fb77ad0ad51d72259a2887794b734ebb644e12eeb55fa1fc67b5c49abe05da","2026-09-17T04:03:11.612258+00:00"
"MCQ_002","SE_06_Q1","SE_06_Q1_0002","1","MCQ","7","gemma","ai_studio","0","5","0","0","0","5","5","0","0","0","5","5","False","None","Band 3","True","False","Items a, b, c, f, and g are correct. Item b contains a misspelling ('soy' for 'joy') which does not cost a mark. Item d is marked 0 because the student provided two conflicting options—roman numeral (iv) which is 'rebillion' and the text 'courageous'—with no indication of intent. Item e is incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a. (iv) actuality
b. (iv) pride and soy
c. (ii) honour
d. (iv) courageous
e. (iii) captured
f. (iv) unitedly
g. (iv) all of i, ii & iii","","","","","Conflicting option selection (Roman numeral vs Text)","Strong accuracy on majority of vocabulary-based MCQs","The student scored 5 out of 7. Items a, b, c, f, and g were correct. Item b's misspelling was ignored per marking guidelines. Item d was marked incorrect because the student provided two different options ((iv) and 'courageous') for a single item. Item e was incorrect.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bf90f1a3c7cdd8297ef061edc5edd661e3fbcc912f193c06428dd32b78a55089","2026-09-17T04:21:02.040411+00:00"
"MCQ_003","SE_06_Q1","SE_06_Q1_0003","1","MCQ","7","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 3","True","False","Items a, b, c, and g match the answer key. Item b is correct despite the misspelling of 'pride'. Items d, e, and f are incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a. iv. actuality
b. iv. prid and joy
c. ii. honour
g. iv. all of i, ii & iii","","","","context_content_data","Vocabulary selection error (Synonyms/Meanings)","Correct identification of factual options","Items a, b, c, and g were answered correctly. Items d, e, and f were answered incorrectly.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","09e3cba6a941ed9df4323cd61183d2891dcc84bddac2cc72a40295229342530f","2026-09-17T04:04:19.299341+00:00"
"MCQ_004","SE_06_Q1","SE_06_Q1_0004","1","MCQ","7","gemma","ai_studio","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","True","False","All attempted items (a, b, c, d, f, g) are incorrect as the student provided parts of speech instead of selecting the correct alternatives from the provided options. Item (e) was omitted.","Criterion fixed at 0 for item-scored questions.","Criterion fixed at 0 for item-scored questions.","Criterion fixed at 0 for item-scored questions.","(a) addjactive (b) noun (c) comprozation (d) verb (g) Preprosition (f) addjactive","","","","context_content_data","Task Misinterpretation (providing parts of speech instead of MCQ answers)","Attempted the layout of the question","The student completely misunderstood the requirements of the MCQ task. Instead of choosing the correct meaning or word from the options provided in the question, the student listed various parts of speech (e.g., 'noun', 'verb', 'addjactive'). Consequently, items a, b, c, d, f, and g are incorrect, and item e was not attempted. Total score: 0/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","8c90c03cf2a42ed8f451604ea29892694b27b63ddfc981efee77eef805f87960","2026-09-17T04:11:18.326984+00:00"
"MCQ_005","SE_06_Q1","SE_06_Q1_0005","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","The student correctly identified items b, c, and g. Items a, d, e, and f were incorrect according to the answer key.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","b. iv. pride and joy
c. ii. honour
g. iv. all of i ii & iii","","","","context_content_data","Incorrect vocabulary selection for synonyms/meanings (a, d, e, f)","Correct identification of factual/contextual options (b, g)","The student correctly answered items b, c, and g. Items a, d, e, and f were incorrect. Total score: 3/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","3643e9d1f188a781c15fc41d6b1c90d8e5fb7856141873e921f5b8928415c379","2026-09-17T04:15:24.387584+00:00"
"MCQ_006","SE_06_Q1","SE_06_Q1_0006","1","MCQ","7","gemma","ai_studio","0","5","0","0","0","5","5","0","0","0","5","5","False","None","Band 3","True","False","Items a, b, d, f, and g are correct. Item c is marked 0 because two options were provided with no indication of which was intended. Item e is marked 0 because two options were provided with no indication of which was intended.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a) (iv) actuality
b) (iv) pride and joy
d) i) defended (ii) courageous
f) iv) unitedly
g) iv) all of i, ii & iii","","","","context_content_data","Providing multiple options for a single item without indicating the choice","High accuracy on most items;Clear use of Roman numerals and text","Items a, b, d, f, and g are correct. Item c is marked wrong because two options were given with no indication of the intended answer. Item e is marked wrong because two options were given with no indication of the intended answer.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","3a01a6ba0dec187315bfe96e6bcb22af9c107027812fcde1ab600f9e3c6378f2","2026-09-17T04:27:07.891039+00:00"
"MCQ_007","SE_06_Q1","SE_06_Q1_0007","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","The student correctly identified options for items a, b, and c. Items d, e, f, and g are incorrect according to the answer key.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a. iv. actuality.
b. iv. pride and joy
c. ii. honour","","","","","Incorrect option selection in second half of the task","Successful identification of vocabulary and context for the first three items","Items a, b, and c were marked correct. Items d, e, f, and g were marked wrong. Total score: 3/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7a3028c0ac7fa72e07f2db8047fdc586d560f6df24d9ab3cce70c512a0a681bb","2026-09-17T04:23:30.693379+00:00"
"MCQ_008","SE_06_Q1","SE_06_Q1_0008","1","MCQ","7","gemma","ai_studio","0","7","0","0","0","7","7","0","0","0","7","7","False","None","Band 4","True","False","The student answered all seven MCQ items correctly according to the provided answer key.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a. iv actuality b. iv Pride and joy c. ii honour d. ii courageous e. ii Submitted f. iv Unitedly g. iv all of i, ii & iii","","","","context_content_data","","Perfect accuracy across all items","The candidate correctly identified the correct options for all items: a (iv), b (iv), c (ii), d (ii), e (ii), f (iv), and g (iv). Full marks awarded.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bc5afe58af03af4e001a725ae6f026068f5cae82a6f7f754811b2c9cb9c5693e","2026-09-17T04:34:38.258502+00:00"
"MCQ_009","SE_06_Q1","SE_06_Q1_0009","1","MCQ","7","gemma","ai_studio","0","6","0","0","0","6","6","0","0","0","6","6","False","None","Band 4","True","False","The candidate correctly identified 6 out of 7 items. Items a, b, c, d, e, and g match the answer key. Item f is incorrect (iii instead of iv). Misspelling in item d ('coarageous') is ignored per marking notes.","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","Item-scored question; this criterion is always 0.","a. iv actuality
b. iv pride and joy
c. ii honour
d. ii coarageous
e. ii submitted
g. iv all of i, ii, iii","","","","context_content_data","Incorrect option choice in item f","High accuracy across most items;Clear identification of options using both roman numerals and text","The student performed very well, correctly answering 6 out of 7 questions. Items a, b, c, d, e, and g were correct. Item f was marked wrong. Total score: 6/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","ac9b591548583563f1e9207d141b349ce3f959047e6a85c6c0e8e9d34cfcaa03","2026-09-17T04:41:43.484647+00:00"
"MCQ_010","SE_06_Q1","SE_06_Q1_0010","1","MCQ","7","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 3","True","False","The student correctly identified the answers for items b, c, e, and g. Item g is marked correct because the student provided the correct text of the option despite the incorrect roman numeral label. Items a, d, and f were answered incorrectly.","This is an item-scored question; structural marks are not applicable.","This is an item-scored question; language mechanics are not scored separately.","This is an item-scored question; originality marks are not applicable.","b) iv) pride and joy, c) (ii) honour, e) (ii) submitted, g) (iii) all of i, ii and iii","","","","context_content_data","Incorrect option selection for vocabulary/synonym items","Accurate identification of multiple correct options","The student correctly answered 4 items: b, c, e, and g. Items a, d, and f were answered incorrectly. Total score is 4/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","475990444cbbe09662e71ff47dbe3afc397afa1dba3d7697579667d4db93c5d2","2026-09-17T04:40:47.286850+00:00"
"MCQ_011","SE_06_Q1","SE_06_Q1_0011","1","MCQ","7","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 3","True","False","Items a, b, c, and g are correct. Item a identifies 'actuality'. Item b identifies 'iv'. Item c identifies 'honour' (despite misspelling 'shounour'). Item g identifies 'iv' and the collective option. Items d, e, and f are incorrect as they select options (i, iii, iii respectively) that do not match the key (ii, ii, iv).","Criterion fixed at 0 for item-scored questions.","Criterion fixed at 0 for item-scored questions.","Criterion fixed at 0 for item-scored questions.","a. actuality b. iv) pride and joy. c. shounour g. iv) all of 8 & iii bewollof","","","","context_content_data","Incorrect option selection for items d, e, and f","Correct identification of meanings and categories in 4 out of 7 items","Items a, b, c, and g were answered correctly (4 marks). Items d, e, and f were answered incorrectly (0 marks). Total score: 4/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","14499c113048846bee717768cc47e98bc175f2832d865ee5053b0ad5fa3f1934","2026-09-17T04:42:42.583875+00:00"
"MCQ_012","SE_06_Q1","SE_06_Q1_0012","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","Items b, c, and g are correct. Item a is incorrect (ii instead of iv). Item d is incorrect (iv instead of ii). Item e is incorrect (iii instead of ii). Item f is incorrect (i instead of iv).","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","b. iv Pride and prejudice
c. ii Honour
g. iv All of i, ii and iii","","","","context_content_data","Incorrect option selection in comprehension/vocabulary items","Correct identification of the summary option in item g","Items b, c, and g were marked correct. Items a, d, e, and f were marked incorrect.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","62dc71a3c2203c3d183b28b24b856ef91b9ef5aa9ce407b474d8cabdc311951f","2026-09-17T04:46:30.416975+00:00"
"MCQ_013","SE_06_Q1","SE_06_Q1_0013","1","MCQ","7","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 3","True","False","Items a, b, c, and g are correct according to the answer key. Items d, e, and f are incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a. In actuality b. pride and joy c. honour g. all of i, ii & iii","","","","context_content_data","Incorrect vocabulary choice in items d, e, and f","Correct identification of key terms and comprehensive options","The student correctly answered 4 out of 7 items: a, b, c, and g. Items d, e, and f were incorrect.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","eb0358176ac4d73eb229e8cf5628183b968bfd9cebba63ff5f6a538a974d78a4","2026-09-17T05:03:22.895382+00:00"
"MCQ_014","SE_06_Q1","SE_06_Q1_0014","1","MCQ","7","gemma","ai_studio","0","0","0","0","0","0","0","0","0","0","0","0","False","None","Band 0","True","False","All seven items were answered incorrectly based on the answer key: a (virtuality vs actuality), b (sorrows and suffering vs pride and joy), c (dignity vs honour), d (submitted vs courageous), e (fearful vs submitted), f (defended vs unitedly), and g (Independende vs all of i, ii & iii).","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","(a + iii) = virtuality (b + iv) = sorrows and suffering (c + iv) = dignity (d + ii) = submitted (e + iii) = fearful (f + iii) = defended (g + ii) = Independende","","","","context_content_data","Incorrect option selection across all items","Attempted all questions","The student attempted all items but failed to identify the correct alternative for any of them. Items a, b, c, d, e, f, and g are all incorrect. Total score: 0/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f3bfb6e471c9867f1ef725945a50593879a869212da58b4bf0c7e25b346db85d","2026-09-17T04:56:44.431215+00:00"
"MCQ_015","SE_06_Q1","SE_06_Q1_0015","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","The student correctly identified three items: b (iv), c (ii), and f (iv). Items a, d, e, and g were answered incorrectly. Per the marking notes, the misspelling of 'honour' as 'honoun' in item c does not cost the mark.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","This is an item-scored question; this criterion is always 0.","b. iv)  pride and joy. c. ii) honoun. f. iv) unitedly","","","","context_content_data","Incorrect option selection in 4 out of 7 items","Correct identification of synonyms and context for items b, c, and f","Items b, c, and f were marked correct. Items a, d, e, and g were marked incorrect. Total score: 3/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","5c308fc3be17848b871098b90b6ddfeb721c98d2766be38efb6c7d6cfdb880c1","2026-09-17T04:55:30.319504+00:00"
"MCQ_016","SE_06_Q1","SE_06_Q1_0016","1","MCQ","7","gemma","ai_studio","0","4","0","0","0","4","4","0","0","0","4","4","False","None","Band 3","True","False","Item a is correct (misspelling 'aetuality' is ignored per rubric); Item b is correct; Item c is correct; Item d is incorrect; Item e is incorrect; Item f is incorrect; Item g is correct. Item h is not part of the question. Total: 4 items correct.","Criterion fixed at 0 for item-scored tasks.","Criterion fixed at 0 for item-scored tasks.","Criterion fixed at 0 for item-scored tasks.","a. iv. aetuality
b. iv. pride and joy
c. ii. honour
g. iv. all of","","","","context_content_data","Vocabulary confusion (fearless vs fearful);Incorrect option selection in reading comprehension","Accurate identification of several key synonyms and terms","Items a, b, c, and g were marked correct. Items d, e, and f were marked wrong. Item h was ignored as it was not part of the assessed question set.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","08779404c17e5904a627dc8913339c532b88ed2b45c11eeb95d0ac560c5a3b7a","2026-09-17T05:07:25.157997+00:00"
"MCQ_017","SE_06_Q1","SE_06_Q1_0017","1","MCQ","7","gemma","ai_studio","0","5","0","0","0","5","5","0","0","0","5","5","False","None","Band 3","True","False","The student correctly identified 5 out of 7 items (b, c, e, f, and g). Item a was incorrect ('certainly' instead of 'actuality') and item d was incorrect ('curious' instead of 'courageous').","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","b. iv. pride and joy
c. ii. honour
e. ii. submitted
f. iv. unitedly
g. iv. all of i, ii & iii.","","","","context_content_data","Vocabulary mismatch in synonym identification (Items a and d)","Accurate identification of the majority of vocabulary and contextual meanings","Items b, c, e, f, and g are correct. Items a and d are incorrect. Total score: 5/7.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","dc8983bfdfefed28b96ecfec4677e50c66e4f88973abdad6a4836a51cb91e55d","2026-09-17T05:44:36.192081+00:00"
"MCQ_018","SE_06_Q1","SE_06_Q1_0018","1","MCQ","7","gemma","ai_studio","0","5","0","0","0","5","5","0","0","0","5","5","False","None","Band 3","True","False","Items a, b, d, e, and g are correct according to the answer key. Item c (student chose 'neglect' instead of 'honour') and item f (student chose 'independently' instead of 'unitedly') are incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","a) iv. actuality
b) iv. pride and joy
d) ii. courageous
e) ii. submitted
g) iv. all of i, ii and iii.","","","","context_content_data","Vocabulary selection error (Antonym/Synonym confusion in item c);Contextual misinterpretation in item f","Accurate identification of key historical and descriptive terms;Consistent use of formatting","The student correctly answered 5 out of 7 items. Items a, b, d, e, and g were marked correct. Items c and f were marked wrong.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","86e9d3544b11b48db3c5ae878dd97b21ad86196d27ae905c26b33014e600944c","2026-09-17T05:22:05.777477+00:00"
"MCQ_019","SE_06_Q1","SE_06_Q1_0019","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","Items b, d, and e are answered correctly according to the key. Items a, c, f, and g are incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","b) iv) Pride and joy
d) ii) courageous.
e) ii) submitted","","","","context_content_data","Incorrect option selection in vocabulary/comprehension items","Accurately identified three of the correct options","Items b, d, and e were marked correct. Items a, c, f, and g were marked wrong. Total score is the arithmetic sum of correct items.","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","08cf2478c5d5636b54c6285d37c0dd45edf05382bb70bb3af0941553a6a9a8eb","2026-09-17T05:23:17.367161+00:00"
"MCQ_020","SE_06_Q1","SE_06_Q1_0020","1","MCQ","7","gemma","ai_studio","0","3","0","0","0","3","3","0","0","0","3","3","False","None","Band 2","True","False","Items (b), (d), and (g) are correct according to the answer key. Items (a), (c), (e), and (f) are incorrect.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","Not applicable for item-scored questions.","(b) iv) pride and joy. (d) ii) courageous. (2) iv) all of i, ii and iii.","","","","context_content_data","Incorrect selection of synonyms/meanings","Correct identification of Victory Day sentiment and the general historical context of 1971","The student answered 3 out of 7 items correctly. Correct: (b), (d), (g). Incorrect: (a), (c), (e), (f).","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","fdfdb77f3ed7b70490bd5058bfa0cdd265332217a48744b1e56534d0f860ff26","2026-09-17T05:30:25.059737+00:00"
