"task_id","exam_set","script_id","question_no","question_type","max_mark","model","provider","n_runs","mean_total_score","total_score_min","total_score_max","total_score_range","total_score_std","mean_context_content_data","mean_structure_format_brevity","mean_language_mechanics","mean_originality_comparisons_paraphrase","mean_raw_total","performance_band_of_mean","cap_applied_rate","cap_reason_modal","is_attempted","synthesised","evidence_not_found_rate","model_version","thinking_level","rubric_hash","prompt_hash"
"DIALOG_011","SE_06_Q1","SE_06_Q1_0011","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","2.0","3.0","1.0","2.0","8.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","6a84c0a7dae47d0a78a9251d260c2f3af72b43aac009ca79d115342eb3ade28f"
"DIALOG_012","SE_06_Q1","SE_06_Q1_0012","13","Dialogue","10","gemma","","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","False","True","0.0","","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","360bf2fc0dfcd9fb88893ddcae412d017ef1571425abf8483c06305491367575"
"DIALOG_013","SE_06_Q1","SE_06_Q1_0013","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","2.0","1.0","2.0","8.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","e3507fcc5eac60a3358b614bfc060dec7633d719361374449058694c4b972311"
"DIALOG_014","SE_06_Q1","SE_06_Q1_0014","13","Dialogue","10","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","2.0","3.0","1.0","1.0","7.0","Band 3","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","6882abe516331ddd41d4dd0112a920f2bcbb7b835983f9729a458b28fb8fcbad"
"DIALOG_015","SE_06_Q1","SE_06_Q1_0015","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","310a621549cf9fdb78f65ba3cca68f223cc3f9c4a533790cb104db29d61786ff"
"DIALOG_016","SE_06_Q1","SE_06_Q1_0016","13","Dialogue","10","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","2.0","3.0","1.0","1.0","7.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","41e8c39f15f003c422a28af9ad9d6a6c94abe3ee4bed17fc1645682a2b19ea24"
"DIALOG_017","SE_06_Q1","SE_06_Q1_0017","13","Dialogue","10","gemma","ai_studio","1","9.0","9.0","9.0","0.0","0.0","3.0","3.0","1.0","2.0","9.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","1316dddfc688ecbb1722b68cb9c735766c284d23001cfad4f199e1a0c6fbc172"
"DIALOG_018","SE_06_Q1","SE_06_Q1_0018","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","3.0","1.0","1.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","fd0c5b68cf3af6a02665186ea164e93963934216074c4c942da4142c5e52778e"
"DIALOG_019","SE_06_Q1","SE_06_Q1_0019","13","Dialogue","10","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","2.0","3.0","0.5","1.5","7.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","3129a7dbeefedb737dff83fb4a8f196fd1e767d72064339c9c823e4fff9d06cf"
"DIALOG_020","SE_06_Q1","SE_06_Q1_0020","13","Dialogue","10","gemma","ai_studio","1","8.0","8.0","8.0","0.0","0.0","3.0","2.0","1.0","2.0","8.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f0c5c8cec3e9c9e2298607d7743ad0dd67b102e244e2a79c11a249c1af2e027b"
"DIALOG_021","SE_06_Q1","SE_06_Q1_0021","13","Dialogue","10","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","0.5","1.0","0.25","0.25","2.0","Band 1","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","11e9eda49c863c076d9718eeab6b5a44673b585b392665e23b27b29f78a2d393"
"DIALOG_022","SE_06_Q1","SE_06_Q1_0022","13","Dialogue","10","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","2.0","3.0","1.0","1.0","7.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","d9dceccd1d720ee4646de10fe19be9fe8b35710dca10a04492aeec7948038db6"
"GAP_001","SE_06_Q1","SE_06_Q1_0001","3","Gap_Fill","5","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","25e14f754716f4ed690927a53656b17724f4c7597762c2723d07afe2667cc1ad"
"GAP_002","SE_06_Q1","SE_06_Q1_0002","3","Gap_Fill","5","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","9403398533006f62fab0dd0e5bfca714931dd7f81644a3872827971229a18fea"
"GAP_003","SE_06_Q1","SE_06_Q1_0003","3","Gap_Fill","5","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","fceda176eb05ff60ac15f5c78dd06469202645d9ba7d9c29e135ae382d8e11b6"
"GAP_004","SE_06_Q1","SE_06_Q1_0004","3","Gap_Fill","5","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","690efe7c3fde48bc6d2398d1848a271b4176f3be27bc228a496786289a6cde83"
"GAP_005","SE_06_Q1","SE_06_Q1_0005","3","Gap_Fill","5","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","b2421c7ae6aaf01e028be64deb0683ebfb7a821165045005406466dd2451adff"
"GAP_006","SE_06_Q1","SE_06_Q1_0006","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","49a71b8de7bf6b4f961b73ed7c86c8edcdf32c5f6f7b297c306f45cd46580beb"
"GAP_007","SE_06_Q1","SE_06_Q1_0007","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","e8f33c93c5f98f61647f846374cca8e757be4f0fccd424492134dea520a1a7af"
"GAP_008","SE_06_Q1","SE_06_Q1_0008","3","Gap_Fill","5","gemma","ai_studio","1","5.0","5.0","5.0","0.0","0.0","5.0","0.0","0.0","0.0","5.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","8b1494a717316d58e06d5b19920772a9eb36bf3118dba09a0bda2617a6ed7823"
"GAP_009","SE_06_Q1","SE_06_Q1_0009","3","Gap_Fill","5","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","9f6ef0d9aad035e2270e8f025ec21c05d0c8a33114f15ad8dbbe32c9a5b4fc8e"
"GAP_010","SE_06_Q1","SE_06_Q1_0010","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","5893cba13a41806e584ee3c5a0bc371ff223268bf07c8ab55a2454f420817c41"
"GAP_011","SE_06_Q1","SE_06_Q1_0011","3","Gap_Fill","5","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f8da356ad95e2e11ffca78c4f1ed4d85ed3e6ea594e89b678408570798a73768"
"GAP_012","SE_06_Q1","SE_06_Q1_0012","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7d17f0dc3f9fb7cbb1fec6321d29ff13d838011de488d6f1891fdcc8ac296b7d"
"GAP_013","SE_06_Q1","SE_06_Q1_0013","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","2184133064765c03130d1f3c6fdfed388986bf0e8b8da0bb425b7531970a703e"
"GAP_014","SE_06_Q1","SE_06_Q1_0014","3","Gap_Fill","5","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","abffc6c592bd740573ed0a93a2ecb94d63de8448f20a78c51855f476a184e8e8"
"GAP_015","SE_06_Q1","SE_06_Q1_0015","3","Gap_Fill","5","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","ff5673c26822d7505230d8b0ef7f9003a27b7238cf37c92259b672f38f043a2b"
"GAP_016","SE_06_Q1","SE_06_Q1_0016","3","Gap_Fill","5","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bef491f1e30ab48299f3a52654cbd9a145ca2a7b054c72aaa3fa4d1451f6d10a"
"GAP_017","SE_06_Q1","SE_06_Q1_0017","3","Gap_Fill","5","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","db5f5dceed71b593def26c51b08f358e4d2a6e2bb400f72e2c9da8773892aec0"
"GAP_018","SE_06_Q1","SE_06_Q1_0018","3","Gap_Fill","5","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","480cd7d9d68497634c6c72e095e14b2f502f79dd86f2f4bce7816f37d16e5a54"
"GAP_019","SE_06_Q1","SE_06_Q1_0019","3","Gap_Fill","5","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f79b9dddcc7238433b19f32d9c34093bcf878815e56fb90f82595e17a936a63a"
"GAP_020","SE_06_Q1","SE_06_Q1_0020","3","Gap_Fill","5","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7d1b8aa49d879d7039bdd6deed41a6ffcb822424aaaab903595b7d2a3f4e161c"
"GAP_021","SE_06_Q1","SE_06_Q1_0021","3","Gap_Fill","5","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","94d1ad5ad4e7ae9a995e209bcd3c9ece1e1013474ae0680812d86acad449ade6"
"GAP_022","SE_06_Q1","SE_06_Q1_0022","3","Gap_Fill","5","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","41ed689b2a796e87b4c1b9ab34337e35e7c238ee684d788752be552821026a69"
"MCQ_001","SE_06_Q1","SE_06_Q1_0001","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","73fb77ad0ad51d72259a2887794b734ebb644e12eeb55fa1fc67b5c49abe05da"
"MCQ_002","SE_06_Q1","SE_06_Q1_0002","1","MCQ","7","gemma","ai_studio","1","5.0","5.0","5.0","0.0","0.0","5.0","0.0","0.0","0.0","5.0","Band 3","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bf90f1a3c7cdd8297ef061edc5edd661e3fbcc912f193c06428dd32b78a55089"
"MCQ_003","SE_06_Q1","SE_06_Q1_0003","1","MCQ","7","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","09e3cba6a941ed9df4323cd61183d2891dcc84bddac2cc72a40295229342530f"
"MCQ_004","SE_06_Q1","SE_06_Q1_0004","1","MCQ","7","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","8c90c03cf2a42ed8f451604ea29892694b27b63ddfc981efee77eef805f87960"
"MCQ_005","SE_06_Q1","SE_06_Q1_0005","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","3643e9d1f188a781c15fc41d6b1c90d8e5fb7856141873e921f5b8928415c379"
"MCQ_006","SE_06_Q1","SE_06_Q1_0006","1","MCQ","7","gemma","ai_studio","1","5.0","5.0","5.0","0.0","0.0","5.0","0.0","0.0","0.0","5.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","3a01a6ba0dec187315bfe96e6bcb22af9c107027812fcde1ab600f9e3c6378f2"
"MCQ_007","SE_06_Q1","SE_06_Q1_0007","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","7a3028c0ac7fa72e07f2db8047fdc586d560f6df24d9ab3cce70c512a0a681bb"
"MCQ_008","SE_06_Q1","SE_06_Q1_0008","1","MCQ","7","gemma","ai_studio","1","7.0","7.0","7.0","0.0","0.0","7.0","0.0","0.0","0.0","7.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","bc5afe58af03af4e001a725ae6f026068f5cae82a6f7f754811b2c9cb9c5693e"
"MCQ_009","SE_06_Q1","SE_06_Q1_0009","1","MCQ","7","gemma","ai_studio","1","6.0","6.0","6.0","0.0","0.0","6.0","0.0","0.0","0.0","6.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","ac9b591548583563f1e9207d141b349ce3f959047e6a85c6c0e8e9d34cfcaa03"
"MCQ_010","SE_06_Q1","SE_06_Q1_0010","1","MCQ","7","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","475990444cbbe09662e71ff47dbe3afc397afa1dba3d7697579667d4db93c5d2"
"MCQ_011","SE_06_Q1","SE_06_Q1_0011","1","MCQ","7","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","14499c113048846bee717768cc47e98bc175f2832d865ee5053b0ad5fa3f1934"
"MCQ_012","SE_06_Q1","SE_06_Q1_0012","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","62dc71a3c2203c3d183b28b24b856ef91b9ef5aa9ce407b474d8cabdc311951f"
"MCQ_013","SE_06_Q1","SE_06_Q1_0013","1","MCQ","7","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","eb0358176ac4d73eb229e8cf5628183b968bfd9cebba63ff5f6a538a974d78a4"
"MCQ_014","SE_06_Q1","SE_06_Q1_0014","1","MCQ","7","gemma","ai_studio","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","f3bfb6e471c9867f1ef725945a50593879a869212da58b4bf0c7e25b346db85d"
"MCQ_015","SE_06_Q1","SE_06_Q1_0015","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","5c308fc3be17848b871098b90b6ddfeb721c98d2766be38efb6c7d6cfdb880c1"
"MCQ_016","SE_06_Q1","SE_06_Q1_0016","1","MCQ","7","gemma","ai_studio","1","4.0","4.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","08779404c17e5904a627dc8913339c532b88ed2b45c11eeb95d0ac560c5a3b7a"
"MCQ_017","SE_06_Q1","SE_06_Q1_0017","1","MCQ","7","gemma","ai_studio","1","5.0","5.0","5.0","0.0","0.0","5.0","0.0","0.0","0.0","5.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","dc8983bfdfefed28b96ecfec4677e50c66e4f88973abdad6a4836a51cb91e55d"
"MCQ_018","SE_06_Q1","SE_06_Q1_0018","1","MCQ","7","gemma","ai_studio","1","5.0","5.0","5.0","0.0","0.0","5.0","0.0","0.0","0.0","5.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","86e9d3544b11b48db3c5ae878dd97b21ad86196d27ae905c26b33014e600944c"
"MCQ_019","SE_06_Q1","SE_06_Q1_0019","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","08cf2478c5d5636b54c6285d37c0dd45edf05382bb70bb3af0941553a6a9a8eb"
"MCQ_020","SE_06_Q1","SE_06_Q1_0020","1","MCQ","7","gemma","ai_studio","1","3.0","3.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0","Band 2","0.0","None","True","False","1.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","fdfdb77f3ed7b70490bd5058bfa0cdd265332217a48744b1e56534d0f860ff26"
"MCQ_021","SE_06_Q1","SE_06_Q1_0021","1","MCQ","7","gemma","ai_studio","1","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","edc706037a240e1e18cf2788517936b8f39c1318e22c0df570ec7ea5c4900ca6"
"MCQ_022","SE_06_Q1","SE_06_Q1_0022","1","MCQ","7","gemma","ai_studio","1","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","Band 1","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","0ce84bb91a1e57900c56e15c4ae438f39d42a687a870f3cb4427b380c4125280"
"PARA_001","SE_06_Q1","SE_06_Q1_0001","12","Paragraph","10","gemma","ai_studio","1","4.5","4.5","4.5","0.0","0.0","1.0","2.0","0.5","1.0","4.5","Band 2","0.0","None","True","False","0.0","gemma-4-31b-it","high","3e778992ef209eccded4c0295312d7733662ec81064c0a092bec51673432259e","99d779446a511d24fb96bc246ab418cda3192bfa2529889523f6137c7a013fd4"
