"task_id","script_id","question_no","question_type","max_mark","model","provider","n_runs","mean_total_score","total_score_min","total_score_max","total_score_range","total_score_std","mean_context_content_data","mean_structure_format_brevity","mean_language_mechanics","mean_originality_comparisons_paraphrase","mean_raw_total","performance_band_of_mean","cap_applied_rate","cap_reason_modal","is_attempted","synthesised","evidence_not_found_rate","model_version","thinking_level","rubric_hash","prompt_hash"
"CHART_008","SE_11_Q1_0008","8","Graph_Chart","10","gemma","ai_studio","3","6.333","6.0","7.0","1.0","0.577","2.333","2.0","1.0","1.0","6.333","Band 3","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","85a04beac66f49ee0396ea180b32d9547fe584f23193d0afd7d1eac398a24fa7"
"CHART_009","SE_11_Q1_0009","8","Graph_Chart","10","gemini","vertex","3","6.0","6.0","6.0","0.0","0.0","2.0","2.0","1.0","1.0","6.0","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","b4d1a4bf259423ea045bc9ae381c0dee59cd689102f285ccdc8fd13466a11170"
"CHART_009","SE_11_Q1_0009","8","Graph_Chart","10","gemma","ai_studio","3","6.667","6.0","8.0","2.0","1.155","2.333","2.333","1.0","1.0","6.667","Band 3","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","b4d1a4bf259423ea045bc9ae381c0dee59cd689102f285ccdc8fd13466a11170"
"CHART_010","SE_11_Q1_0010","8","Graph_Chart","10","gemini","vertex","3","5.0","5.0","5.0","0.0","0.0","2.0","1.0","1.0","1.0","5.0","Band 2","1.0","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d37fc4c1bdba5a00b1b1b8ecc5895c204d9d3c3e8499cdeb22492ba9312fa369"
"CHART_010","SE_11_Q1_0010","8","Graph_Chart","10","gemma","ai_studio","3","4.667","4.0","6.0","2.0","1.155","2.0","1.333","0.667","0.667","4.667","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d37fc4c1bdba5a00b1b1b8ecc5895c204d9d3c3e8499cdeb22492ba9312fa369"
"CHART_011","SE_11_Q1_0011","8","Graph_Chart","10","gemini","vertex","3","4.333","4.0","5.0","1.0","0.577","1.333","1.0","1.0","1.0","4.333","Band 2","1.0","Graph_External_Facts","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","89bb7d7a28b8fd56a0e6ae66e9877c200833cbfb34097e0182bd13c010de8e0c"
"CHART_011","SE_11_Q1_0011","8","Graph_Chart","10","gemma","ai_studio","3","4.5","4.0","5.0","1.0","0.5","2.0","1.0","0.667","0.833","4.5","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","89bb7d7a28b8fd56a0e6ae66e9877c200833cbfb34097e0182bd13c010de8e0c"
"CHART_012","SE_11_Q1_0012","8","Graph_Chart","10","gemini","vertex","3","5.333","5.0","6.0","1.0","0.577","2.0","1.333","1.0","1.0","5.333","Band 2","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2d299ba34e59dfccf17ee24d10018d4c885a2f55ece0a91ddb0592c057ba36f3"
"CHART_012","SE_11_Q1_0012","8","Graph_Chart","10","gemma","ai_studio","3","5.667","5.0","6.0","1.0","0.577","2.667","1.5","0.667","0.833","5.667","Band 3","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2d299ba34e59dfccf17ee24d10018d4c885a2f55ece0a91ddb0592c057ba36f3"
"CHART_013","SE_11_Q1_0013","8","Graph_Chart","10","gemini","vertex","3","5.0","5.0","5.0","0.0","0.0","2.0","1.0","1.0","1.0","5.0","Band 2","1.0","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","0e949a561cb5867d242551888845719227c8cd7cd74bbd6c74aad8bfb6878879"
"CHART_013","SE_11_Q1_0013","8","Graph_Chart","10","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","2.0","1.0","0.5","0.5","4.0","Band 2","1.0","Graph_External_Facts","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","0e949a561cb5867d242551888845719227c8cd7cd74bbd6c74aad8bfb6878879"
"CHART_014","SE_11_Q1_0014","8","Graph_Chart","10","gemini","vertex","3","5.667","5.0","6.0","1.0","0.577","2.0","1.667","1.0","1.0","5.667","Band 3","1.0","Graph_External_Facts","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","f516c48e3e75de225dd1ff545b543d69e7d932aab8a663dff6295f78b8c83faa"
"CHART_014","SE_11_Q1_0014","8","Graph_Chart","10","gemma","ai_studio","3","5.333","4.0","6.0","2.0","1.155","2.667","1.333","0.833","0.833","5.667","Band 2","1.0","Graph_External_Facts","True","False","0.333","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","f516c48e3e75de225dd1ff545b543d69e7d932aab8a663dff6295f78b8c83faa"
"CHART_015","SE_11_Q1_0015","8","Graph_Chart","10","gemini","vertex","3","5.333","5.0","6.0","1.0","0.577","2.0","1.333","1.0","1.0","5.333","Band 2","0.333","Graph_External_Facts","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e3abb4ca20a4b68583033a099c627d2da2ba34ff6bcf34c7b37d268730c08bb2"
"CHART_015","SE_11_Q1_0015","8","Graph_Chart","10","gemma","ai_studio","3","4.833","4.0","6.0","2.0","1.041","2.333","1.333","0.5","0.833","5.0","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e3abb4ca20a4b68583033a099c627d2da2ba34ff6bcf34c7b37d268730c08bb2"
"CHART_016","SE_11_Q1_0016","8","Graph_Chart","10","gemini","vertex","3","4.667","4.0","6.0","2.0","1.155","1.333","1.333","1.0","1.0","4.667","Band 2","1.0","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7a473ffce7ad92b90e5e06b992c72f5b6cee5f637eabe8f3825122d786341092"
"CHART_016","SE_11_Q1_0016","8","Graph_Chart","10","gemma","ai_studio","3","4.0","3.0","5.0","2.0","1.0","1.167","1.167","0.667","1.0","4.0","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","7a473ffce7ad92b90e5e06b992c72f5b6cee5f637eabe8f3825122d786341092"
"CHART_017","SE_11_Q1_0017","8","Graph_Chart","10","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.333","1.0","1.0","0.667","4.0","Band 2","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2353ae2ff1a4e85cc2ac3440f484ea8b65dad583e149c92c0bbdbd938b5cec62"
"CHART_017","SE_11_Q1_0017","8","Graph_Chart","10","gemma","ai_studio","3","5.667","5.0","6.0","1.0","0.577","2.0","1.667","1.0","1.0","5.667","Band 3","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2353ae2ff1a4e85cc2ac3440f484ea8b65dad583e149c92c0bbdbd938b5cec62"
"CHART_018","SE_11_Q1_0018","8","Graph_Chart","10","gemini","vertex","3","5.333","4.0","6.0","2.0","1.155","2.0","1.667","1.0","0.667","5.333","Band 2","0.667","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","b28e216829ab2b739e72902d7949defd67785da741147a3f0c59de616f048ab9"
"CHART_018","SE_11_Q1_0018","8","Graph_Chart","10","gemma","ai_studio","3","4.333","4.0","5.0","1.0","0.577","1.667","1.0","0.833","0.833","4.333","Band 2","1.0","Graph_External_Facts","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","b28e216829ab2b739e72902d7949defd67785da741147a3f0c59de616f048ab9"
"CHART_019","SE_11_Q1_0019","8","Graph_Chart","10","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.667","1.0","0.333","1.0","4.0","Band 2","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","dcd497d19b949348b3c65a963b06ff0b5ad7950bb912cb2d3bda6c5a3e9afbe4"
"CHART_019","SE_11_Q1_0019","8","Graph_Chart","10","gemma","ai_studio","3","4.0","3.0","5.0","2.0","1.0","1.5","1.5","0.5","0.5","4.0","Band 2","0.0","None","True","False","0.333","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","dcd497d19b949348b3c65a963b06ff0b5ad7950bb912cb2d3bda6c5a3e9afbe4"
"CHART_020","SE_11_Q1_0020","8","Graph_Chart","10","gemini","vertex","3","5.0","4.0","6.0","2.0","1.0","1.333","1.667","1.0","1.0","5.0","Band 2","0.667","Graph_External_Facts","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8e2295018ad0e7653f519b67fc53858cd3ce3a25776171936d2812aa991f2f6c"
"CHART_020","SE_11_Q1_0020","8","Graph_Chart","10","gemma","ai_studio","3","5.667","5.0","6.0","1.0","0.577","1.667","2.0","1.0","1.0","5.667","Band 3","1.0","Graph_External_Facts","True","False","0.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","8e2295018ad0e7653f519b67fc53858cd3ce3a25776171936d2812aa991f2f6c"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e49f72906fc8002de80bd1cc1b24eb489b9824abceb27c38910ec3b35532bde1"
"LETTER_001","SE_11_Q1_0001","10","Letter_Email","5","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.5","0.5","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e49f72906fc8002de80bd1cc1b24eb489b9824abceb27c38910ec3b35532bde1"
"LETTER_002","SE_11_Q1_0002","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e22f1b47b897410335b68604983298b0572f75125711f1f153025725be979e47"
"LETTER_002","SE_11_Q1_0002","10","Letter_Email","5","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.5","0.5","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","e22f1b47b897410335b68604983298b0572f75125711f1f153025725be979e47"
"LETTER_003","SE_11_Q1_0003","10","Letter_Email","5","gemini","vertex","3","3.0","3.0","3.0","0.0","0.0","1.0","2.0","0.0","0.0","3.0","Band 3","0.0","None","True","False","0.667","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","979443a216a6382e2c776d1dc7d85f4ac53a6aaf075c5ba2d093d4bdc0d75f89"
"LETTER_003","SE_11_Q1_0003","10","Letter_Email","5","gemma","ai_studio","3","3.333","3.0","4.0","1.0","0.577","1.0","2.0","0.167","0.167","3.333","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","979443a216a6382e2c776d1dc7d85f4ac53a6aaf075c5ba2d093d4bdc0d75f89"
"LETTER_004","SE_11_Q1_0004","10","Letter_Email","5","gemini","vertex","3","3.0","3.0","3.0","0.0","0.0","1.0","1.0","0.0","1.0","3.0","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d9e382573f2e56a9e366272a99d828aac1d4a86f9a9935ddaba9f041341ddfeb"
"LETTER_004","SE_11_Q1_0004","10","Letter_Email","5","gemma","ai_studio","3","3.333","3.0","4.0","1.0","0.577","1.0","1.167","0.5","0.667","3.333","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","d9e382573f2e56a9e366272a99d828aac1d4a86f9a9935ddaba9f041341ddfeb"
"LETTER_005","SE_11_Q1_0005","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","1.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","bffa11fad08d1449a0c8115ab40cf6d33a4fe0d253b4f251f8788b28495ce6ca"
"LETTER_005","SE_11_Q1_0005","10","Letter_Email","5","gemma","ai_studio","3","4.167","4.0","4.5","0.5","0.289","1.0","2.0","0.5","0.667","4.167","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","bffa11fad08d1449a0c8115ab40cf6d33a4fe0d253b4f251f8788b28495ce6ca"
"LETTER_006","SE_11_Q1_0006","10","Letter_Email","5","gemini","","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","False","True","0.0","","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","f4a93e15570c35be6f2d916a60db68779bf4bede3fe2a3d51f179eead6e82312"
"LETTER_006","SE_11_Q1_0006","10","Letter_Email","5","gemma","","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Band 0","0.0","None","False","True","0.0","","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","f4a93e15570c35be6f2d916a60db68779bf4bede3fe2a3d51f179eead6e82312"
"LETTER_007","SE_11_Q1_0007","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","a2e1d1854a08e9396c5c839168d1d0a72ebdeb259ab28d603968130fb6201867"
"LETTER_007","SE_11_Q1_0007","10","Letter_Email","5","gemma","ai_studio","3","4.167","4.0","4.5","0.5","0.289","1.0","2.0","0.333","0.833","4.167","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","a2e1d1854a08e9396c5c839168d1d0a72ebdeb259ab28d603968130fb6201867"
"LETTER_008","SE_11_Q1_0008","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","1a65e59e4bd13d171db731e72fe53ecfeac70ece39f87a02b8ce6179feb7d813"
"LETTER_008","SE_11_Q1_0008","10","Letter_Email","5","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.0","1.5","0.5","1.0","4.0","Band 4","0.0","None","True","False","0.333","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","1a65e59e4bd13d171db731e72fe53ecfeac70ece39f87a02b8ce6179feb7d813"
"LETTER_009","SE_11_Q1_0009","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2c562c70a50a9e58d5bdd933832902a6bab9b1dbc5fbe46307343d7611456e77"
"LETTER_009","SE_11_Q1_0009","10","Letter_Email","5","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.5","0.5","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","2c562c70a50a9e58d5bdd933832902a6bab9b1dbc5fbe46307343d7611456e77"
"LETTER_010","SE_11_Q1_0010","10","Letter_Email","5","gemini","vertex","3","3.667","3.0","4.0","1.0","0.577","1.0","2.0","0.0","0.667","3.667","Band 4","0.0","None","True","False","0.333","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","c8de56b33916a8332411fcd8e0bcb0497be43425e9166cdc0eeb80ff5721ee1a"
"LETTER_010","SE_11_Q1_0010","10","Letter_Email","5","gemma","ai_studio","3","4.167","4.0","4.5","0.5","0.289","1.0","2.0","0.5","0.833","4.333","Band 4","0.0","None","True","False","0.667","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","c8de56b33916a8332411fcd8e0bcb0497be43425e9166cdc0eeb80ff5721ee1a"
"LETTER_011","SE_11_Q1_0011","10","Letter_Email","5","gemini","vertex","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.0","1.0","4.0","Band 4","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","a9e1915ba2112b96016e011faa9fca9dc9aaa7cb33ef58f0852003973c1bee36"
"LETTER_011","SE_11_Q1_0011","10","Letter_Email","5","gemma","ai_studio","3","4.0","4.0","4.0","0.0","0.0","1.0","2.0","0.167","0.833","4.0","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","a9e1915ba2112b96016e011faa9fca9dc9aaa7cb33ef58f0852003973c1bee36"
"LETTER_012","SE_11_Q1_0012","10","Letter_Email","5","gemini","vertex","3","3.333","3.0","4.0","1.0","0.577","1.0","2.0","0.0","0.333","3.333","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","1023ff9c2066afb1efcfc25a34f3a345611b201f662f28f6e83e9160de989774"
"LETTER_012","SE_11_Q1_0012","10","Letter_Email","5","gemma","ai_studio","3","3.667","3.0","4.0","1.0","0.577","1.0","1.833","0.167","0.667","3.667","Band 4","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","1023ff9c2066afb1efcfc25a34f3a345611b201f662f28f6e83e9160de989774"
"LETTER_013","SE_11_Q1_0013","10","Letter_Email","5","gemini","vertex","3","3.0","3.0","3.0","0.0","0.0","1.0","1.0","0.0","1.0","3.0","Band 3","0.0","None","True","False","0.0","gemini-3.7-flash","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","86638f9b3411232f69f22a70fce6530414f5e28b22b5cdf93d1235ad7077e6e7"
"LETTER_013","SE_11_Q1_0013","10","Letter_Email","5","gemma","ai_studio","3","3.0","3.0","3.0","0.0","0.0","1.0","1.167","0.417","0.417","3.0","Band 3","0.0","None","True","False","1.0","gemma-4-31b-it","high","3cacb8adcdf2fa1d15f75df5fbb49279824697964a40f149c310b8d7c19feb18","86638f9b3411232f69f22a70fce6530414f5e28b22b5cdf93d1235ad7077e6e7"
