"run_id","task_id","model","provider","model_id","thinking_level","run_index","call_index","input_tokens","output_tokens","thoughts_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"CHART_006__gemma__run0__call0","CHART_006","gemma","ai_studio","gemma-4-31b-it","high","0","0","4393","2229","1459","0.001108","63359","1","200","2026-08-24T22:05:22.620352+00:00"
"CHART_006__gemma__run1__call0","CHART_006","gemma","ai_studio","gemma-4-31b-it","high","1","0","4393","2007","1270","0.001041","57015","1","200","2026-08-24T22:05:26.604207+00:00"
"CHART_006__gemma__run2__call0","CHART_006","gemma","ai_studio","gemma-4-31b-it","high","2","0","4393","2617","1873","0.001224","74266","1","200","2026-08-24T22:05:54.958692+00:00"
"CHART_007__gemini__run0__call0","CHART_007","gemini","vertex","gemini-3.7-flash","high","0","0","4436","3431","2624","0.009908","20983","1","200","2026-08-24T22:09:42.212780+00:00"
"CHART_007__gemini__run1__call0","CHART_007","gemini","vertex","gemini-3.7-flash","high","1","0","4436","3232","2422","0.009411","19672","1","200","2026-08-24T22:09:50.233354+00:00"
"CHART_007__gemini__run2__call0","CHART_007","gemini","vertex","gemini-3.7-flash","high","2","0","4436","3060","2275","0.008981","18718","1","200","2026-08-24T22:09:56.915634+00:00"
"CHART_007__gemma__run0__call0","CHART_007","gemma","ai_studio","gemma-4-31b-it","high","0","0","4437","1922","1126","0.00102","54172","1","200","2026-08-24T22:10:36.388276+00:00"
"CHART_007__gemma__run1__call0","CHART_007","gemma","ai_studio","gemma-4-31b-it","high","1","0","4437","1735","940","0.000964","49375","1","200","2026-08-24T22:10:39.612749+00:00"
"CHART_007__gemma__run2__call0","CHART_007","gemma","ai_studio","gemma-4-31b-it","high","2","0","4437","2027","1257","0.001052","57140","1","200","2026-08-24T22:10:54.060902+00:00"
"CHART_008__gemini__run0__call0","CHART_008","gemini","vertex","gemini-3.7-flash","high","0","0","4429","3726","2738","0.010644","21109","1","200","2026-08-24T22:18:44.021195+00:00"
"CHART_008__gemini__run1__call0","CHART_008","gemini","vertex","gemini-3.7-flash","high","1","0","4429","3103","2144","0.009086","20375","1","200","2026-08-24T22:19:01.208571+00:00"
"CHART_008__gemini__run2__call0","CHART_008","gemini","vertex","gemini-3.7-flash","high","2","0","4429","3447","2528","0.009946","20327","1","200","2026-08-24T22:19:04.354760+00:00"
"CHART_008__gemma__run0__call0","CHART_008","gemma","ai_studio","gemma-4-31b-it","high","0","0","4430","1850","1076","0.000998","52187","1","200","2026-08-24T22:19:36.666148+00:00"
"CHART_008__gemma__run1__call0","CHART_008","gemma","ai_studio","gemma-4-31b-it","high","1","0","4430","1730","891","0.000962","49092","1","200","2026-08-24T22:19:50.309172+00:00"
"CHART_008__gemma__run2__call0","CHART_008","gemma","ai_studio","gemma-4-31b-it","high","2","0","4430","2256","1501","0.00112","63375","1","200","2026-08-24T22:20:07.737029+00:00"
"CHART_009__gemini__run0__call0","CHART_009","gemini","vertex","gemini-3.7-flash","high","0","0","4436","3232","2390","0.009411","25734","1","200","2026-08-24T22:27:03.634561+00:00"
"CHART_009__gemini__run1__call0","CHART_009","gemini","vertex","gemini-3.7-flash","high","1","0","4436","3327","2411","0.009648","21765","1","200","2026-08-24T22:27:12.041590+00:00"
"CHART_009__gemini__run2__call0","CHART_009","gemini","vertex","gemini-3.7-flash","high","2","0","4436","2735","1824","0.008168","20155","1","200","2026-08-24T22:27:18.416111+00:00"
"CHART_009__gemma__run0__call0","CHART_009","gemma","ai_studio","gemma-4-31b-it","high","0","0","4437","2855","1965","0.0013","78967","1","200","2026-08-24T22:28:22.608703+00:00"
"CHART_009__gemma__run1__call0","CHART_009","gemma","ai_studio","gemma-4-31b-it","high","1","0","4437","2210","1423","0.001107","62375","1","200","2026-08-24T22:28:14.417747+00:00"
"CHART_009__gemma__run2__call0","CHART_009","gemma","ai_studio","gemma-4-31b-it","high","2","0","4437","2337","1559","0.001145","65719","1","200","2026-08-24T22:28:24.156628+00:00"
"CHART_010__gemini__run0__call0","CHART_010","gemini","vertex","gemini-3.7-flash","high","0","0","4387","3031","2231","0.008894","18702","1","200","2026-08-24T22:34:52.856128+00:00"
"CHART_010__gemini__run1__call0","CHART_010","gemini","vertex","gemini-3.7-flash","high","1","0","4387","3066","2185","0.008981","18781","1","200","2026-08-24T22:34:57.500607+00:00"
"CHART_010__gemini__run2__call0","CHART_010","gemini","vertex","gemini-3.7-flash","high","2","0","4387","3411","2543","0.009844","21766","1","200","2026-08-24T22:35:14.620687+00:00"
"CHART_010__gemma__run0__call0","CHART_010","gemma","ai_studio","gemma-4-31b-it","high","0","0","4388","2083","1323","0.001064","58094","1","200","2026-08-24T22:35:53.775589+00:00"
"CHART_010__gemma__run1__call0","CHART_010","gemma","ai_studio","gemma-4-31b-it","high","1","0","4388","2702","1929","0.001249","76390","1","200","2026-08-24T22:36:13.904251+00:00"
"CHART_010__gemma__run2__call0","CHART_010","gemma","ai_studio","gemma-4-31b-it","high","2","0","4388","2280","1498","0.001123","64421","1","200","2026-08-24T22:36:19.045553+00:00"
"CHART_011__gemini__run0__call0","CHART_011","gemini","vertex","gemini-3.7-flash","high","0","0","4481","3989","3204","0.011317","24280","1","200","2026-08-24T23:06:46.687822+00:00"
"CHART_011__gemini__run1__call0","CHART_011","gemini","vertex","gemini-3.7-flash","high","1","0","4481","3349","2560","0.009717","21609","1","200","2026-08-24T23:06:47.713379+00:00"
"CHART_011__gemini__run2__call0","CHART_011","gemini","vertex","gemini-3.7-flash","high","2","0","4481","3369","2549","0.009767","23327","1","200","2026-08-24T23:07:09.666603+00:00"
"CHART_011__gemma__run0__call0","CHART_011","gemma","ai_studio","gemma-4-31b-it","high","0","0","4482","2567","1765","0.001218","72125","1","200","2026-08-24T23:07:58.817186+00:00"
"CHART_011__gemma__run1__call0","CHART_011","gemma","ai_studio","gemma-4-31b-it","high","1","0","4482","2426","1633","0.001176","67750","1","200","2026-08-24T23:07:55.466291+00:00"
"CHART_011__gemma__run2__call0","CHART_011","gemma","ai_studio","gemma-4-31b-it","high","2","0","4482","2081","1282","0.001072","59859","1","200","2026-08-24T23:08:09.533977+00:00"
"CHART_012__gemini__run0__call0","CHART_012","gemini","vertex","gemini-3.7-flash","high","0","0","4391","3602","2684","0.010322","26422","1","200","2026-08-24T23:14:37.706262+00:00"
"CHART_012__gemini__run1__call0","CHART_012","gemini","vertex","gemini-3.7-flash","high","1","0","4391","2939","2062","0.008665","18797","1","200","2026-08-24T23:14:36.970252+00:00"
"CHART_012__gemini__run2__call0","CHART_012","gemini","vertex","gemini-3.7-flash","high","2","0","4391","3621","2849","0.01037","20967","1","200","2026-08-24T23:14:57.931296+00:00"
"CHART_012__gemma__run0__call0","CHART_012","gemma","ai_studio","gemma-4-31b-it","high","0","0","4392","2578","1819","0.001213","72280","1","200","2026-08-24T23:15:49.992771+00:00"
"CHART_012__gemma__run1__call0","CHART_012","gemma","ai_studio","gemma-4-31b-it","high","1","0","4392","2392","1584","0.001157","66561","1","200","2026-08-24T23:16:00.567042+00:00"
"CHART_012__gemma__run2__call0","CHART_012","gemma","ai_studio","gemma-4-31b-it","high","2","0","4392","2600","1827","0.001219","73469","1","200","2026-08-24T23:16:11.407392+00:00"
"CHART_013__gemini__run0__call0","CHART_013","gemini","vertex","gemini-3.7-flash","high","0","0","4469","3491","2600","0.010068","19312","1","200","2026-08-24T23:24:01.840698+00:00"
"CHART_013__gemini__run1__call0","CHART_013","gemini","vertex","gemini-3.7-flash","high","1","0","4469","3061","2149","0.008993","18047","1","200","2026-08-24T23:24:19.895648+00:00"
"CHART_013__gemini__run2__call0","CHART_013","gemini","vertex","gemini-3.7-flash","high","2","0","4469","3463","2628","0.009998","19671","1","200","2026-08-24T23:24:28.668879+00:00"
"CHART_013__gemma__run0__call0","CHART_013","gemma","ai_studio","gemma-4-31b-it","high","0","0","4470","1851","1065","0.001002","53577","1","200","2026-08-24T23:25:13.469837+00:00"
"CHART_013__gemma__run1__call0","CHART_013","gemma","ai_studio","gemma-4-31b-it","high","1","0","4470","2371","1580","0.001158","66327","1","200","2026-08-24T23:25:28.045597+00:00"
"CHART_013__gemma__run2__call0","CHART_013","gemma","ai_studio","gemma-4-31b-it","high","2","0","4470","2428","1693","0.001175","68969","1","200","2026-08-24T23:25:37.638272+00:00"
"CHART_014__gemini__run0__call0","CHART_014","gemini","vertex","gemini-3.7-flash","high","0","0","4380","2921","2074","0.008616","31750","1","200","2026-08-24T23:33:37.945725+00:00"
"CHART_014__gemini__run1__call0","CHART_014","gemini","vertex","gemini-3.7-flash","high","1","0","4380","2590","1701","0.007789","31812","1","200","2026-08-24T23:33:38.025296+00:00"
"CHART_014__gemini__run2__call0","CHART_014","gemini","vertex","gemini-3.7-flash","high","2","0","4380","3856","3047","0.010954","37156","1","200","2026-08-24T23:33:44.380075+00:00"
"CHART_014__gemma__run0__call0","CHART_014","gemma","ai_studio","gemma-4-31b-it","high","0","0","4381","2342","1626","0.001141","66172","1","200","2026-08-24T23:34:44.118026+00:00"
"CHART_014__gemma__run1__call0","CHART_014","gemma","ai_studio","gemma-4-31b-it","high","1","0","4381","2017","1305","0.001043","56687","1","200","2026-08-24T23:34:34.753189+00:00"
"CHART_014__gemma__run2__call0","CHART_014","gemma","ai_studio","gemma-4-31b-it","high","2","0","4381","2179","1368","0.001092","60109","1","200","2026-08-24T23:34:44.505515+00:00"
"CHART_015__gemini__run0__call0","CHART_015","gemini","vertex","gemini-3.7-flash","high","0","0","4463","4352","3451","0.012219","66530","2","200","2026-08-24T23:42:59.627188+00:00"
"CHART_015__gemini__run1__call0","CHART_015","gemini","vertex","gemini-3.7-flash","high","1","0","4463","2854","1922","0.008474","25313","1","200","2026-08-24T23:42:35.507941+00:00"
"CHART_015__gemini__run2__call0","CHART_015","gemini","vertex","gemini-3.7-flash","high","2","0","4463","4308","3421","0.012109","26545","1","200","2026-08-24T23:43:02.071222+00:00"
"CHART_015__gemma__run0__call0","CHART_015","gemma","ai_studio","gemma-4-31b-it","high","0","0","4464","2373","1566","0.001158","66452","1","200","2026-08-24T23:43:56.664096+00:00"
"CHART_015__gemma__run1__call0","CHART_015","gemma","ai_studio","gemma-4-31b-it","high","1","0","4464","3314","2526","0.001441","93593","1","200","2026-08-24T23:44:33.215905+00:00"
"CHART_015__gemma__run2__call0","CHART_015","gemma","ai_studio","gemma-4-31b-it","high","2","0","4464","2037","1262","0.001058","57922","1","200","2026-08-24T23:44:00.010944+00:00"
"CHART_016__gemini__run0__call0","CHART_016","gemini","vertex","gemini-3.7-flash","high","0","0","4474","3795","2894","0.01083","26905","1","200","2026-08-24T23:52:22.001778+00:00"
"CHART_016__gemini__run1__call0","CHART_016","gemini","vertex","gemini-3.7-flash","high","1","0","4474","3501","2726","0.010095","21922","1","200","2026-08-24T23:52:21.101082+00:00"
"CHART_016__gemini__run2__call0","CHART_016","gemini","vertex","gemini-3.7-flash","high","2","0","4474","4027","3104","0.01141","25858","1","200","2026-08-24T23:52:30.815615+00:00"
"CHART_016__gemma__run0__call0","CHART_016","gemma","ai_studio","gemma-4-31b-it","high","0","0","4475","2075","1219","0.00107","59016","1","200","2026-08-24T23:53:20.126217+00:00"
"CHART_016__gemma__run1__call0","CHART_016","gemma","ai_studio","gemma-4-31b-it","high","1","0","4475","3092","2278","0.001375","87108","1","200","2026-08-24T23:53:49.100892+00:00"
"CHART_016__gemma__run2__call0","CHART_016","gemma","ai_studio","gemma-4-31b-it","high","2","0","4475","2596","1737","0.001226","71907","1","200","2026-08-24T23:53:42.712932+00:00"
"CHART_017__gemini__run0__call0","CHART_017","gemini","vertex","gemini-3.7-flash","high","0","0","4388","3979","3032","0.011264","55047","1","200","2026-08-25T00:02:22.369400+00:00"
"CHART_017__gemini__run1__call0","CHART_017","gemini","vertex","gemini-3.7-flash","high","1","0","4388","3539","2633","0.010164","22280","1","200","2026-08-25T00:01:59.777201+00:00"
"CHART_017__gemini__run2__call0","CHART_017","gemini","vertex","gemini-3.7-flash","high","2","0","4388","3040","2199","0.008916","28079","1","200","2026-08-25T00:02:09.643625+00:00"
"CHART_017__gemma__run0__call0","CHART_017","gemma","ai_studio","gemma-4-31b-it","high","0","0","4389","2182","1398","0.001093","60844","1","200","2026-08-25T00:03:00.645998+00:00"
"CHART_017__gemma__run1__call0","CHART_017","gemma","ai_studio","gemma-4-31b-it","high","1","0","4389","2472","1710","0.00118","69562","1","200","2026-08-25T00:03:19.199205+00:00"
"CHART_017__gemma__run2__call0","CHART_017","gemma","ai_studio","gemma-4-31b-it","high","2","0","4389","3262","2492","0.001417","91077","1","200","2026-08-25T00:03:53.449682+00:00"
"CHART_018__gemini__run0__call0","CHART_018","gemini","vertex","gemini-3.7-flash","high","0","0","4479","2693","1793","0.008076","18609","1","200","2026-08-25T00:11:39.898444+00:00"
"CHART_018__gemini__run1__call0","CHART_018","gemini","vertex","gemini-3.7-flash","high","1","0","4479","3623","2711","0.010401","27609","1","200","2026-08-25T00:11:55.765864+00:00"
"CHART_018__gemini__run2__call0","CHART_018","gemini","vertex","gemini-3.7-flash","high","2","0","4479","5633","4791","0.015426","43079","1","200","2026-08-25T00:12:12.517126+00:00"
"CHART_018__gemma__run0__call0","CHART_018","gemma","ai_studio","gemma-4-31b-it","high","0","0","4480","3201","2429","0.001408","89297","1","200","2026-08-25T00:13:09.203001+00:00"
"CHART_018__gemma__run1__call0","CHART_018","gemma","ai_studio","gemma-4-31b-it","high","1","0","4480","2411","1587","0.001171","66734","1","200","2026-08-25T00:13:02.501865+00:00"
"CHART_018__gemma__run2__call0","CHART_018","gemma","ai_studio","gemma-4-31b-it","high","2","0","4480","2657","1931","0.001245","74967","1","200","2026-08-25T00:13:27.487370+00:00"
"CHART_019__gemini__run0__call0","CHART_019","gemini","vertex","gemini-3.7-flash","high","0","0","4442","3635","2780","0.01042","83983","2","200","2026-08-25T00:22:27.733438+00:00"
"CHART_019__gemini__run1__call0","CHART_019","gemini","vertex","gemini-3.7-flash","high","1","0","4442","3821","2960","0.010885","26045","1","200","2026-08-25T00:21:35.065952+00:00"
"CHART_019__gemini__run2__call0","CHART_019","gemini","vertex","gemini-3.7-flash","high","2","0","4442","4571","3692","0.01276","30688","1","200","2026-08-25T00:22:05.742227+00:00"
"CHART_019__gemma__run0__call0","CHART_019","gemma","ai_studio","gemma-4-31b-it","high","0","0","4443","3300","2512","0.001434","93875","1","200","2026-08-25T00:23:18.122567+00:00"
"CHART_019__gemma__run1__call0","CHART_019","gemma","ai_studio","gemma-4-31b-it","high","1","0","4443","2635","1739","0.001235","73936","1","200","2026-08-25T00:23:19.692536+00:00"
"CHART_019__gemma__run2__call0","CHART_019","gemma","ai_studio","gemma-4-31b-it","high","2","0","4443","2611","1808","0.001228","72984","1","200","2026-08-25T00:23:40.718144+00:00"
"CHART_020__gemini__run0__call0","CHART_020","gemini","vertex","gemini-3.7-flash","high","0","0","4424","4408","3495","0.012347","32969","1","200","2026-08-25T00:31:31.825877+00:00"
"CHART_020__gemini__run1__call0","CHART_020","gemini","vertex","gemini-3.7-flash","high","1","0","4424","4276","3358","0.012017","29125","1","200","2026-08-25T00:31:30.801694+00:00"
"CHART_020__gemini__run2__call0","CHART_020","gemini","vertex","gemini-3.7-flash","high","2","0","4424","4269","3421","0.012","30795","1","200","2026-08-25T00:31:46.817999+00:00"
"CHART_020__gemma__run0__call0","CHART_020","gemma","ai_studio","gemma-4-31b-it","high","0","0","4425","2085","1341","0.001068","58672","1","200","2026-08-25T00:32:29.464240+00:00"
"CHART_020__gemma__run1__call0","CHART_020","gemma","ai_studio","gemma-4-31b-it","high","1","0","4425","1946","1154","0.001026","53983","1","200","2026-08-25T00:32:25.813495+00:00"
"CHART_020__gemma__run2__call0","CHART_020","gemma","ai_studio","gemma-4-31b-it","high","2","0","4425","2523","1791","0.001199","70452","1","200","2026-08-25T00:32:57.282389+00:00"
"LETTER_001__gemini__run0__call0","LETTER_001","gemini","vertex","gemini-3.7-flash","high","0","0","4403","2896","2063","0.008561","22047","1","200","2026-08-24T20:39:40.584289+00:00"
"LETTER_001__gemini__run1__call0","LETTER_001","gemini","vertex","gemini-3.7-flash","high","1","0","4403","2631","1846","0.007898","22469","1","200","2026-08-24T20:40:24.783592+00:00"
"LETTER_001__gemini__run1__call1","LETTER_001","gemini","vertex","gemini-3.7-flash","high","1","1","4440","2524","1662","0.007642","34500","1","200","2026-08-24T20:40:24.783592+00:00"
"LETTER_001__gemini__run2__call0","LETTER_001","gemini","vertex","gemini-3.7-flash","high","2","0","4403","2799","1954","0.008318","20984","1","200","2026-08-24T20:39:50.494590+00:00"
"LETTER_001__gemma__run0__call0","LETTER_001","gemma","ai_studio","gemma-4-31b-it","high","0","0","4404","3334","2600","0.001441","94265","1","200","2026-08-24T20:41:14.865708+00:00"
"LETTER_001__gemma__run1__call0","LETTER_001","gemma","ai_studio","gemma-4-31b-it","high","1","0","4404","2250","1510","0.001115","64577","1","200","2026-08-24T20:40:55.077558+00:00"
"LETTER_001__gemma__run2__call0","LETTER_001","gemma","ai_studio","gemma-4-31b-it","high","2","0","4404","2879","2088","0.001304","81500","1","200","2026-08-24T20:41:46.279005+00:00"
"LETTER_002__gemini__run0__call0","LETTER_002","gemini","vertex","gemini-3.7-flash","high","0","0","4406","3731","2931","0.010649","22922","1","200","2026-08-24T21:07:28.822564+00:00"
"LETTER_002__gemini__run1__call0","LETTER_002","gemini","vertex","gemini-3.7-flash","high","1","0","4406","3362","2519","0.009727","24281","1","200","2026-08-24T21:07:31.626942+00:00"
"LETTER_002__gemini__run2__call0","LETTER_002","gemini","vertex","gemini-3.7-flash","high","2","0","4406","3053","2295","0.008954","27077","1","200","2026-08-24T21:07:40.036957+00:00"
"LETTER_002__gemma__run0__call0","LETTER_002","gemma","ai_studio","gemma-4-31b-it","high","0","0","4407","1863","1133","0.001","52453","1","200","2026-08-24T21:36:04.994923+00:00"
"LETTER_002__gemma__run1__call0","LETTER_002","gemma","ai_studio","gemma-4-31b-it","high","1","0","4407","3212","2476","0.001404","88390","1","200","2026-08-24T21:36:51.942880+00:00"
"LETTER_002__gemma__run2__call0","LETTER_002","gemma","ai_studio","gemma-4-31b-it","high","2","0","4407","2430","1653","0.00117","76655","4","200","2026-08-24T21:08:40.399231+00:00"
"LETTER_003__gemini__run0__call0","LETTER_003","gemini","vertex","gemini-3.7-flash","high","0","0","4465","3017","2263","0.008882","19000","1","200","2026-08-24T21:10:18.174808+00:00"
"LETTER_003__gemini__run1__call0","LETTER_003","gemini","vertex","gemini-3.7-flash","high","1","0","4465","3022","2156","0.008894","18656","1","200","2026-08-24T21:10:18.585706+00:00"
"LETTER_003__gemini__run2__call0","LETTER_003","gemini","vertex","gemini-3.7-flash","high","2","0","4465","3371","2508","0.009767","21422","1","200","2026-08-24T21:10:25.350767+00:00"
"LETTER_003__gemma__run0__call0","LETTER_003","gemma","ai_studio","gemma-4-31b-it","high","0","0","4466","3282","2496","0.001431","91233","1","200","2026-08-24T21:42:01.740532+00:00"
"LETTER_003__gemma__run1__call0","LETTER_003","gemma","ai_studio","gemma-4-31b-it","high","1","0","4466","3063","2260","0.001366","102672","5","200","2026-08-24T21:11:57.496172+00:00"
"LETTER_003__gemma__run2__call0","LETTER_003","gemma","ai_studio","gemma-4-31b-it","high","2","0","4466","2415","1650","0.001171","84172","5","200","2026-08-24T21:11:42.348261+00:00"
"LETTER_004__gemini__run0__call0","LETTER_004","gemini","vertex","gemini-3.7-flash","high","0","0","4462","4342","3566","0.012194","32219","1","200","2026-08-24T21:13:11.535086+00:00"
"LETTER_004__gemini__run1__call0","LETTER_004","gemini","vertex","gemini-3.7-flash","high","1","0","4462","3600","2771","0.010339","23579","1","200","2026-08-24T21:13:05.157508+00:00"
"LETTER_004__gemini__run2__call0","LETTER_004","gemini","vertex","gemini-3.7-flash","high","2","0","4462","3635","2801","0.010426","22922","1","200","2026-08-24T21:13:06.355372+00:00"
"LETTER_004__gemma__run0__call0","LETTER_004","gemma","ai_studio","gemma-4-31b-it","high","0","0","4463","2438","1660","0.001178","68500","1","200","2026-08-24T21:44:55.117292+00:00"
"LETTER_004__gemma__run1__call0","LETTER_004","gemma","ai_studio","gemma-4-31b-it","high","1","0","4463","3158","2356","0.001394","89734","1","200","2026-08-24T21:45:39.576722+00:00"
"LETTER_004__gemma__run2__call0","LETTER_004","gemma","ai_studio","gemma-4-31b-it","high","2","0","4463","2556","1807","0.001213","71812","1","200","2026-08-24T21:45:39.964991+00:00"
"LETTER_005__gemini__run0__call0","LETTER_005","gemini","vertex","gemini-3.7-flash","high","0","0","4333","2610","1833","0.007825","17483","1","200","2026-08-24T21:15:55.561371+00:00"
"LETTER_005__gemini__run1__call0","LETTER_005","gemini","vertex","gemini-3.7-flash","high","1","0","4333","2935","2099","0.008637","20077","1","200","2026-08-24T21:15:59.487222+00:00"
"LETTER_005__gemini__run2__call0","LETTER_005","gemini","vertex","gemini-3.7-flash","high","2","0","4333","3048","2272","0.00892","20500","1","200","2026-08-24T21:16:03.358479+00:00"
"LETTER_005__gemma__run0__call0","LETTER_005","gemma","ai_studio","gemma-4-31b-it","high","0","0","4334","3453","2722","0.001469","97094","1","200","2026-08-24T21:48:37.780315+00:00"
"LETTER_005__gemma__run1__call0","LETTER_005","gemma","ai_studio","gemma-4-31b-it","high","1","0","4334","2827","2086","0.001282","79359","1","200","2026-08-24T21:49:12.499666+00:00"
"LETTER_005__gemma__run2__call0","LETTER_005","gemma","ai_studio","gemma-4-31b-it","high","2","0","4334","2643","1919","0.001226","73422","1","200","2026-08-24T21:49:17.367019+00:00"
